,Story,Label,P1,P2,Last,TOM Responses
0,Georgia enters room_2. Charlie enters room_2. Georgia enters room_3. Charlie enters the_hallway. Edward enters room_2. Frank enters room_2. Bob enters room_2. Bob enters the_hallway. Georgia enters room_4. Danny enters room_2. Alice enters room_2. Alice enters room_3. Frank enters room_3. Charlie enters room_2. Charlie enters the_hallway. Frank enters room_2. Bob enters room_4. Alice enters the_hallway. Georgia enters room_3. Georgia enters the_hallway. Charlie enters room_2. Bob enters room_1. Charlie enters room_1. Georgia enters room_1. Frank enters the_hallway. Frank enters room_4. Frank enters room_1. Georgia enters room_5. Frank enters the_hallway. Bob enters the_hallway. Edward enters room_1. Bob enters room_4. Frank enters room_2. Frank enters room_1. Frank enters room_2. Frank enters the_hallway. Georgia enters room_1. Bob enters room_3. Bob enters room_2. Charlie enters room_5. Charlie enters room_2. Charlie enters room_1. Charlie enters the_hallway. Charlie enters room_1. Georgia enters room_5. Georgia enters room_2. Frank enters room_4. Edward enters the_hallway. Frank enters room_5. Frank enters room_1. Frank enters the_hallway. Frank enters room_4. Georgia enters room_1. Edward enters room_4. Edward enters room_3. Georgia enters room_5. Charlie enters room_5. Bob enters room_1. Georgia enters room_1. Georgia enters room_2. Edward enters the_hallway. Bob enters room_2. Georgia enters room_1. Bob enters room_3. Charlie enters room_2. Edward enters room_1. Bob enters room_4. Georgia enters room_5. Charlie enters the_hallway. Edward enters room_2. Edward enters room_1. Georgia enters room_4. Georgia enters room_3. Georgia enters the_hallway. Charlie enters room_1. Bob enters room_1. Bob enters the_hallway. Charlie enters room_5. Charlie enters room_1. Bob enters room_2. Bob enters the_hallway. Bob enters room_4. Bob enters room_5. Georgia enters room_4. Edward enters the_hallway. Edward enters room_4. Bob enters room_4. Edward enters room_5. Bob enters room_1. Edward enters room_4. Edward enters room_3. Georgia enters room_3. Edward enters room_4. Bob enters room_2. Frank enters room_5. Edward enters room_1. Bob enters room_3. Frank enters room_1. Edward enters room_2. Edward enters room_3,room_3,Danny,Alice,the_hallway,Danny watched Alice go to room_3.
0,Charlie enters room_4. Charlie enters room_3. Georgia enters room_2. Charlie enters room_2. Frank enters room_1. Charlie enters room_1. Danny enters room_1. Alice enters room_1. Frank enters room_2. Frank enters the_hallway. Bob enters room_1. Bob enters room_5. Edward enters room_2. Danny enters the_hallway. Edward enters the_hallway. Charlie enters room_2. Charlie enters room_3. Bob enters room_4. Georgia enters the_hallway. Georgia enters room_1. Danny enters room_1. Georgia enters the_hallway. Charlie enters the_hallway. Frank enters room_1. Georgia enters room_2. Danny enters the_hallway. Danny enters room_1. Georgia enters room_1. Edward enters room_4. Frank enters room_5. Danny enters room_2. Frank enters room_1. Danny enters room_3. Danny enters room_4. Danny enters room_3. Frank enters room_2. Edward enters room_5. Danny enters the_hallway. Danny enters room_4. Edward enters room_1. Georgia enters the_hallway. Edward enters room_2. Danny enters room_5. Frank enters the_hallway. Charlie enters room_2. Charlie enters the_hallway. Charlie enters room_1. Georgia enters room_4. Edward enters the_hallway. Danny enters room_2. Charlie enters the_hallway. Frank enters room_4. Edward enters room_4. Charlie enters room_1. Frank enters room_5. Frank enters room_4. Charlie enters room_5. Edward enters room_5. Charlie enters room_1. Charlie enters room_2. Edward enters room_4. Charlie enters room_1. Charlie enters room_2. Charlie enters room_3. Charlie enters the_hallway. Charlie enters room_1. Georgia enters room_5. Charlie enters room_5. Frank enters room_5. Georgia enters room_1. Georgia enters room_2. Georgia enters the_hallway. Danny enters the_hallway. Georgia enters room_1. Edward enters room_3. Frank enters room_1. Charlie enters room_2. Edward enters the_hallway. Danny enters room_1. Frank enters the_hallway. Edward enters room_1. Charlie enters room_3. Georgia enters room_5. Frank enters room_2. Edward enters the_hallway. Frank enters the_hallway. Georgia enters room_4. Georgia enters room_3. Georgia enters room_2. Danny enters room_2. Georgia enters the_hallway. Edward enters room_2. Georgia enters room_2. Charlie enters room_2. Edward enters room_1. Edward enters room_5. Georgia enters room_3. Edward enters room_2. Frank enters room_2. Frank enters room_1,room_5,Alice,Bob,room_4,Alice watched Bob go to room_5.
0,Danny enters room_1. Charlie enters room_2. Alice enters room_4. Charlie enters the_hallway. Charlie enters room_1. Alice enters room_1. Frank enters room_1. Frank enters room_5. Georgia enters room_2. Alice enters room_2. Danny enters room_5. Danny enters room_2. Georgia enters room_3. Edward enters room_2. Georgia enters room_2. Georgia enters room_1. Alice enters the_hallway. Danny enters the_hallway. Bob enters room_2. Alice enters room_2. Georgia enters room_5. Georgia enters room_1. Charlie enters the_hallway. Bob enters room_3. Alice enters room_1. Alice enters the_hallway. Edward enters the_hallway. Edward enters room_4. Georgia enters room_5. Georgia enters room_4. Charlie enters room_4. Edward enters room_1. Charlie enters room_5. Charlie enters room_2. Charlie enters room_3. Bob enters room_4. Alice enters room_4. Bob enters room_5. Alice enters room_1. Georgia enters room_5. Bob enters room_1. Georgia enters room_4. Alice enters room_2. Alice enters room_1. Georgia enters room_5. Charlie enters room_2. Edward enters room_2. Edward enters room_1. Georgia enters room_1. Charlie enters room_1. Charlie enters room_2. Bob enters room_2. Bob enters the_hallway. Bob enters room_2. Edward enters the_hallway. Bob enters room_1. Georgia enters room_5. Alice enters the_hallway. Alice enters room_4. Edward enters room_4. Edward enters room_1. Edward enters room_5. Georgia enters room_4. Charlie enters room_3. Edward enters room_2. Bob enters room_2. Alice enters room_3. Bob enters room_1. Edward enters the_hallway. Alice enters room_2. Alice enters room_3. Edward enters room_1. Charlie enters the_hallway. Georgia enters room_1. Edward enters room_2. Georgia enters room_2. Alice enters room_2. Bob enters the_hallway. Charlie enters room_1. Alice enters room_1. Charlie enters room_2. Georgia enters room_3. Bob enters room_1. Georgia enters the_hallway. Bob enters the_hallway. Georgia enters room_4. Georgia enters room_1. Alice enters the_hallway. Bob enters room_4. Edward enters room_3. Bob enters room_1. Georgia enters room_2. Georgia enters room_1. Charlie enters room_3. Alice enters room_4. Alice enters room_3. Bob enters the_hallway. Charlie enters room_2. Bob enters room_1. Georgia enters the_hallway,room_2,Frank,Danny,the_hallway,Frank did not watch Danny go anywhere.
0,Alice enters room_2. Bob enters room_1. Alice enters room_1. Georgia enters room_1. Danny enters room_2. Danny enters room_1. Alice enters the_hallway. Edward enters room_4. Alice enters room_2. Bob enters room_5. Charlie enters room_4. Charlie enters room_1. Danny enters the_hallway. Bob enters room_1. Danny enters room_2. Bob enters room_5. Danny enters room_3. Charlie enters room_2. Georgia enters room_5. Alice enters room_3. Bob enters room_4. Danny enters the_hallway. Danny enters room_4. Georgia enters room_4. Georgia enters room_1. Bob enters room_5. Georgia enters the_hallway. Frank enters room_4. Frank enters room_3. Alice enters room_2. Bob enters room_2. Georgia enters room_1. Danny enters room_5. Bob enters the_hallway. Bob enters room_2. Alice enters the_hallway. Georgia enters room_2. Alice enters room_1. Frank enters room_4. Frank enters room_5. Danny enters room_1. Alice enters room_2. Alice enters the_hallway. Danny enters the_hallway. Bob enters room_1. Georgia enters room_3. Alice enters room_2. Georgia enters the_hallway. Danny enters room_4. Danny enters room_3. Georgia enters room_4. Alice enters room_3. Alice enters room_4. Bob enters the_hallway. Georgia enters room_1. Danny enters room_2. Alice enters room_5. Frank enters room_1. Alice enters room_1. Alice enters room_2. Alice enters room_3. Frank enters the_hallway. Alice enters the_hallway. Danny enters the_hallway. Georgia enters room_2. Bob enters room_2. Danny enters room_2. Frank enters room_1. Georgia enters room_3. Danny enters the_hallway. Alice enters room_1. Bob enters the_hallway. Danny enters room_4. Bob enters room_1. Bob enters room_5. Frank enters room_2. Danny enters room_1. Frank enters room_3. Alice enters the_hallway. Bob enters room_1. Frank enters room_4. Alice enters room_1. Georgia enters room_2. Georgia enters the_hallway. Bob enters room_2. Georgia enters room_2. Georgia enters the_hallway. Frank enters room_5. Danny enters room_5. Danny enters room_2. Danny enters the_hallway. Frank enters room_4. Danny enters room_2. Georgia enters room_2. Frank enters room_3. Georgia enters the_hallway. Georgia enters room_1. Frank enters the_hallway. Bob enters the_hallway. Georgia enters the_hallway,room_1,Edward,Charlie,room_2,"Edward never watched Charlie go anywhere because after Edward entered room_4, he was never mentioned again in the story."
0,Georgia enters room_4. Edward enters room_4. Bob enters room_1. Charlie enters room_2. Georgia enters room_5. Edward enters room_3. Charlie enters the_hallway. Frank enters room_1. Alice enters room_1. Danny enters room_4. Danny enters room_3. Danny enters the_hallway. Georgia enters room_4. Frank enters room_5. Alice enters the_hallway. Georgia enters room_3. Bob enters room_5. Danny enters room_4. Bob enters room_2. Bob enters room_3. Charlie enters room_1. Charlie enters room_5. Bob enters room_2. Charlie enters room_1. Bob enters room_3. Charlie enters the_hallway. Charlie enters room_4. Georgia enters the_hallway. Alice enters room_2. Bob enters the_hallway. Alice enters room_3. Charlie enters room_5. Frank enters room_2. Charlie enters room_1. Charlie enters the_hallway. Charlie enters room_4. Frank enters room_3. Bob enters room_1. Frank enters room_4. Bob enters room_2. Bob enters room_3. Georgia enters room_1. Alice enters the_hallway. Bob enters the_hallway. Charlie enters room_3. Bob enters room_4. Frank enters room_5. Alice enters room_2. Frank enters room_2. Georgia enters room_5. Frank enters room_1. Charlie enters room_2. Charlie enters room_1. Charlie enters room_2. Bob enters room_3. Georgia enters room_1. Bob enters room_2. Charlie enters room_3. Charlie enters the_hallway. Bob enters room_1. Frank enters room_5. Charlie enters room_2. Charlie enters the_hallway. Frank enters room_1. Charlie enters room_1. Georgia enters room_5. Alice enters the_hallway. Charlie enters room_5. Charlie enters room_4. Georgia enters room_1. Bob enters room_5. Charlie enters room_3. Bob enters room_1. Frank enters room_2. Alice enters room_2. Bob enters room_2. Bob enters room_1. Bob enters room_2. Bob enters the_hallway. Frank enters room_1. Charlie enters the_hallway. Georgia enters room_5. Bob enters room_2. Alice enters room_3. Georgia enters room_4. Frank enters room_2. Alice enters room_4. Charlie enters room_4. Frank enters the_hallway. Georgia enters room_1. Charlie enters room_1. Bob enters room_1. Alice enters room_3. Alice enters room_2. Frank enters room_1. Alice enters room_3. Georgia enters room_2. Georgia enters the_hallway. Georgia enters room_4. Alice enters room_2,the_hallway,Edward,Danny,room_4,Edward watched Danny go to room_3.
0,Georgia enters room_4. Edward enters room_1. Frank enters room_1. Alice enters room_4. Alice enters room_3. Georgia enters room_1. Charlie enters room_1. Danny enters room_4. Alice enters the_hallway. Edward enters room_5. Bob enters room_1. Bob enters room_2. Charlie enters room_5. Danny enters room_3. Georgia enters room_2. Charlie enters room_2. Alice enters room_4. Bob enters the_hallway. Alice enters room_3. Georgia enters room_3. Edward enters room_4. Edward enters room_5. Danny enters room_4. Alice enters the_hallway. Edward enters room_1. Alice enters room_2. Edward enters the_hallway. Danny enters room_3. Alice enters the_hallway. Danny enters room_4. Charlie enters room_1. Charlie enters room_5. Edward enters room_2. Charlie enters room_1. Edward enters the_hallway. Alice enters room_1. Charlie enters the_hallway. Edward enters room_4. Georgia enters room_2. Edward enters room_1. Alice enters room_5. Edward enters the_hallway. Danny enters room_1. Charlie enters room_4. Georgia enters room_1. Georgia enters room_2. Georgia enters room_1. Charlie enters room_1. Alice enters room_4. Alice enters room_5. Georgia enters room_2. Charlie enters room_5. Charlie enters room_1. Charlie enters the_hallway. Edward enters room_4. Alice enters room_1. Edward enters room_3. Edward enters room_2. Charlie enters room_4. Danny enters room_5. Georgia enters room_1. Charlie enters room_5. Edward enters room_3. Danny enters room_4. Charlie enters room_4. Alice enters the_hallway. Alice enters room_4. Charlie enters room_3. Danny enters room_3. Alice enters room_3. Charlie enters room_2. Alice enters room_4. Edward enters room_4. Alice enters room_3. Charlie enters the_hallway. Danny enters the_hallway. Charlie enters room_4. Alice enters room_4. Edward enters room_5. Danny enters room_4. Georgia enters room_2. Alice enters room_1. Danny enters room_1. Charlie enters room_5. Georgia enters room_3. Georgia enters room_2. Edward enters room_4. Charlie enters room_2. Alice enters the_hallway. Alice enters room_4. Alice enters room_5. Danny enters the_hallway. Alice enters room_4. Alice enters room_1. Georgia enters room_1. Charlie enters the_hallway. Charlie enters room_2. Edward enters room_5. Edward enters room_1. Alice enters room_2,room_2,Frank,Bob,the_hallway,Frank did not watch Bob go anywhere as they were not mentioned together again after they were in room_1.
0,Charlie enters room_1. Edward enters room_2. Edward enters room_1. Danny enters room_4. Edward enters the_hallway. Frank enters room_4. Edward enters room_1. Alice enters room_2. Frank enters room_3. Frank enters room_2. Georgia enters room_2. Georgia enters room_3. Bob enters room_2. Charlie enters room_2. Bob enters room_3. Frank enters room_3. Frank enters room_4. Georgia enters room_4. Bob enters room_4. Charlie enters room_3. Frank enters room_5. Edward enters room_5. Edward enters room_2. Charlie enters the_hallway. Bob enters room_3. Danny enters room_3. Edward enters room_1. Charlie enters room_4. Charlie enters room_3. Bob enters the_hallway. Edward enters room_2. Frank enters room_1. Frank enters room_5. Bob enters room_1. Frank enters room_2. Edward enters the_hallway. Danny enters the_hallway. Bob enters room_2. Edward enters room_2. Frank enters room_1. Bob enters the_hallway. Edward enters room_3. Danny enters room_1. Edward enters room_4. Danny enters room_5. Bob enters room_4. Frank enters the_hallway. Frank enters room_1. Edward enters room_3. Bob enters room_5. Danny enters room_4. Charlie enters room_4. Frank enters the_hallway. Danny enters room_3. Bob enters room_4. Danny enters room_2. Charlie enters room_5. Danny enters room_3. Danny enters room_2. Edward enters room_4. Danny enters the_hallway. Danny enters room_4. Danny enters room_5. Charlie enters room_2. Edward enters room_5. Bob enters room_5. Danny enters room_1. Bob enters room_2. Danny enters room_2. Edward enters room_2. Edward enters the_hallway. Bob enters the_hallway. Charlie enters room_1. Danny enters room_1. Danny enters room_5. Frank enters room_2. Danny enters room_1. Frank enters the_hallway. Danny enters room_5. Bob enters room_2. Charlie enters room_5. Edward enters room_1. Charlie enters room_2. Danny enters room_4. Danny enters room_1. Bob enters the_hallway. Frank enters room_4. Edward enters room_5. Frank enters room_3. Frank enters room_2. Frank enters room_3. Charlie enters room_1. Danny enters the_hallway. Bob enters room_2. Frank enters room_2. Bob enters the_hallway. Charlie enters room_2. Edward enters room_4. Charlie enters room_3. Bob enters room_2,room_3,Alice,Georgia,room_4,room_3
0,Charlie enters room_2. Bob enters room_4. Charlie enters the_hallway. Edward enters room_4. Bob enters room_3. Danny enters room_2. Alice enters room_1. Charlie enters room_4. Frank enters room_1. Charlie enters room_3. Edward enters room_3. Edward enters the_hallway. Georgia enters room_1. Georgia enters the_hallway. Charlie enters room_4. Danny enters the_hallway. Georgia enters room_2. Edward enters room_2. Charlie enters room_3. Charlie enters room_4. Frank enters room_5. Frank enters room_1. Charlie enters room_5. Danny enters room_4. Georgia enters the_hallway. Frank enters room_2. Frank enters the_hallway. Danny enters room_1. Alice enters room_5. Danny enters room_2. Danny enters room_1. Frank enters room_4. Frank enters room_3. Danny enters room_2. Alice enters room_1. Charlie enters room_4. Alice enters room_5. Frank enters room_2. Charlie enters room_3. Danny enters room_3. Frank enters the_hallway. Charlie enters room_2. Danny enters room_4. Charlie enters room_3. Danny enters room_3. Frank enters room_4. Georgia enters room_1. Alice enters room_2. Charlie enters the_hallway. Frank enters room_5. Danny enters room_4. Danny enters room_1. Alice enters room_3. Danny enters room_2. Danny enters room_1. Danny enters room_2. Danny enters room_1. Alice enters the_hallway. Alice enters room_2. Danny enters room_2. Charlie enters room_1. Georgia enters room_2. Alice enters room_3. Danny enters room_1. Danny enters room_2. Danny enters room_3. Danny enters room_2. Danny enters room_3. Georgia enters room_3. Frank enters room_4. Frank enters room_1. Frank enters room_5. Frank enters room_1. Charlie enters the_hallway. Charlie enters room_2. Frank enters the_hallway. Charlie enters room_3. Frank enters room_1. Charlie enters room_4. Danny enters the_hallway. Alice enters the_hallway. Alice enters room_1. Georgia enters room_2. Alice enters the_hallway. Alice enters room_2. Alice enters room_3. Danny enters room_2. Frank enters room_2. Alice enters room_4. Georgia enters room_1. Georgia enters room_5. Frank enters the_hallway. Georgia enters room_2. Alice enters room_3. Frank enters room_2. Georgia enters room_3. Charlie enters room_1. Frank enters room_3. Danny enters the_hallway. Frank enters room_4,the_hallway,Bob,Edward,room_2,the hallway
0,Danny enters room_2. Frank enters room_2. Charlie enters room_1. Bob enters room_1. Frank enters room_3. Alice enters room_1. Danny enters the_hallway. Bob enters the_hallway. Frank enters room_2. Alice enters the_hallway. Edward enters room_1. Edward enters room_2. Georgia enters room_2. Georgia enters the_hallway. Frank enters room_1. Frank enters the_hallway. Georgia enters room_2. Edward enters the_hallway. Frank enters room_2. Danny enters room_1. Georgia enters room_1. Bob enters room_2. Georgia enters the_hallway. Alice enters room_4. Georgia enters room_4. Danny enters the_hallway. Danny enters room_4. Georgia enters room_3. Alice enters room_1. Danny enters room_3. Frank enters room_1. Georgia enters room_2. Bob enters the_hallway. Alice enters room_5. Bob enters room_2. Danny enters the_hallway. Frank enters the_hallway. Alice enters room_2. Frank enters room_1. Frank enters room_5. Danny enters room_2. Georgia enters room_1. Bob enters the_hallway. Bob enters room_1. Alice enters the_hallway. Danny enters room_1. Danny enters the_hallway. Georgia enters the_hallway. Danny enters room_2. Georgia enters room_2. Danny enters room_3. Danny enters the_hallway. Bob enters room_2. Danny enters room_4. Frank enters room_2. Georgia enters room_3. Alice enters room_2. Bob enters room_3. Bob enters room_2. Alice enters room_1. Danny enters room_5. Frank enters room_1. Frank enters room_2. Bob enters room_1. Frank enters the_hallway. Alice enters room_5. Bob enters room_5. Georgia enters room_2. Alice enters room_1. Georgia enters the_hallway. Georgia enters room_1. Georgia enters room_2. Frank enters room_1. Alice enters room_5. Frank enters room_5. Danny enters room_2. Danny enters room_3. Alice enters room_4. Frank enters room_1. Frank enters room_2. Alice enters room_5. Georgia enters the_hallway. Georgia enters room_4. Frank enters room_3. Georgia enters room_1. Georgia enters room_2. Georgia enters the_hallway. Danny enters the_hallway. Bob enters room_1. Bob enters room_2. Bob enters the_hallway. Frank enters the_hallway. Danny enters room_2. Danny enters room_3. Bob enters room_4. Georgia enters room_4. Danny enters room_4. Danny enters room_5. Frank enters room_1. Bob enters room_1,room_2,Charlie,Edward,the_hallway,The story does not provide information on Charlie watching Edward go anywhere.
0,Georgia enters room_4. Charlie enters room_1. Bob enters room_4. Frank enters room_1. Charlie enters room_5. Edward enters room_1. Bob enters room_5. Edward enters room_2. Alice enters room_4. Bob enters room_2. Danny enters room_4. Danny enters room_1. Georgia enters room_5. Edward enters room_1. Frank enters the_hallway. Edward enters the_hallway. Georgia enters room_1. Danny enters the_hallway. Charlie enters room_4. Charlie enters room_1. Bob enters room_1. Charlie enters room_2. Bob enters the_hallway. Bob enters room_2. Charlie enters the_hallway. Georgia enters the_hallway. Charlie enters room_2. Georgia enters room_1. Charlie enters room_1. Charlie enters the_hallway. Charlie enters room_2. Edward enters room_4. Bob enters room_3. Charlie enters room_3. Bob enters room_2. Frank enters room_1. Bob enters room_1. Frank enters the_hallway. Georgia enters room_2. Bob enters the_hallway. Edward enters room_1. Bob enters room_1. Edward enters the_hallway. Georgia enters room_1. Bob enters room_5. Georgia enters room_2. Frank enters room_2. Frank enters room_1. Frank enters room_5. Edward enters room_4. Charlie enters the_hallway. Bob enters room_2. Charlie enters room_4. Charlie enters room_5. Bob enters the_hallway. Frank enters room_1. Georgia enters the_hallway. Edward enters room_5. Charlie enters room_2. Charlie enters room_1. Edward enters room_4. Bob enters room_1. Charlie enters the_hallway. Edward enters room_1. Bob enters the_hallway. Georgia enters room_1. Bob enters room_4. Bob enters room_3. Bob enters room_2. Bob enters room_3. Bob enters the_hallway. Edward enters the_hallway. Frank enters the_hallway. Bob enters room_4. Frank enters room_1. Charlie enters room_2. Charlie enters room_3. Charlie enters room_4. Charlie enters room_1. Bob enters room_1. Frank enters the_hallway. Frank enters room_1. Frank enters the_hallway. Georgia enters room_2. Frank enters room_2. Georgia enters room_3. Edward enters room_4. Georgia enters the_hallway. Frank enters room_3. Frank enters room_4. Frank enters room_5. Edward enters room_1. Bob enters room_2. Charlie enters room_5. Charlie enters room_4. Frank enters room_2. Bob enters room_3. Georgia enters room_2. Frank enters the_hallway. Bob enters room_2,room_1,Alice,Danny,the_hallway,Danny went to room_1.
