,Story,Label,P1,P2,Last,CP_Loc,TOM Responses
0,Danny enters room_4. Edward enters room_2. Frank enters room_2. Georgia enters room_2. Alice enters room_4. Charlie enters room_2. Alice enters room_3. Charlie enters the_hallway. Bob enters room_4. Danny enters room_3. Frank enters room_3. Frank enters room_2. Edward enters the_hallway. Georgia enters room_1. Charlie enters room_4. Charlie enters room_1. Bob enters room_3. Frank enters room_1. Frank enters room_2. Edward enters room_1. Alice enters the_hallway. Bob enters room_4. Georgia enters room_5. Danny enters room_4. Georgia enters room_1. Edward enters room_5. Frank enters room_3. Danny enters room_3. Georgia enters the_hallway. Charlie enters room_2. Alice enters room_4. Georgia enters room_4. Frank enters room_4. Alice enters room_5. Bob enters room_5. Edward enters room_2. Charlie enters room_1. Georgia enters room_3. Alice enters room_4. Bob enters room_2. Bob enters the_hallway. Georgia enters room_2. Bob enters room_1. Georgia enters room_3. Bob enters room_2. Frank enters room_1. Edward enters the_hallway. Edward enters room_4. Charlie enters the_hallway. Charlie enters room_4. Danny enters room_4. Danny enters room_1. Danny enters the_hallway. Danny enters room_4. Edward enters room_3. Georgia enters room_4. Danny enters room_5. Georgia enters room_3. Frank enters room_5. Georgia enters the_hallway. Bob enters the_hallway. Alice enters room_3. Frank enters room_2. Charlie enters room_1. Alice enters the_hallway. Georgia enters room_4. Edward enters room_2. Alice enters room_2. Georgia enters room_3. Frank enters room_1. Charlie enters room_2. Edward enters room_3. Alice enters room_1. Danny enters room_2. Edward enters the_hallway. Frank enters room_2. Edward enters room_4. Bob enters room_4. Alice enters room_5. Alice enters room_2. Edward enters room_3. Edward enters the_hallway. Georgia enters the_hallway. Georgia enters room_1. Alice enters room_1. Edward enters room_1. Charlie enters the_hallway. Bob enters room_1. Georgia enters room_2. Charlie enters room_1. Frank enters room_1. Frank enters room_2. Charlie enters room_2. Danny enters the_hallway. Charlie enters room_3. Charlie enters room_4. Charlie enters room_3. Georgia enters room_1. Charlie enters room_4. Alice enters room_5,the_hallway,"Danny,Alice",Bob,room_4,,The hallway.
0,Danny enters room_4. Frank enters room_1. Danny enters room_3. Bob enters room_1. Frank enters room_5. Bob enters room_2. Alice enters room_1. Charlie enters room_1. Danny enters the_hallway. Bob enters the_hallway. Georgia enters room_1. Alice enters room_1. Danny enters room_4. Alice enters room_5. Frank enters room_4. Georgia enters room_1. Georgia enters room_5. Bob enters room_4. Bob enters room_3. Bob enters room_2. Frank enters room_3. Bob enters room_1. Danny enters room_3. Frank enters room_2. Frank enters the_hallway. Edward enters room_2. Danny enters room_4. Edward enters the_hallway. Bob enters room_2. Bob enters room_3. Danny enters room_3. Bob enters the_hallway. Frank enters room_1. Frank enters room_2. Danny enters room_4. Danny enters room_3. Danny enters room_4. Frank enters room_3. Danny enters room_3. Frank enters room_4. Danny enters room_4. Danny enters room_5. Danny enters room_4. Frank enters room_3. Edward enters room_4. Danny enters room_1. Danny enters the_hallway. Edward enters room_5. Frank enters room_4. Bob enters room_1. Edward enters room_2. Frank enters room_1. Bob enters room_5. Bob enters room_2. Bob enters room_1. Frank enters the_hallway. Danny enters room_2. Bob enters the_hallway. Frank enters room_4. Edward enters room_3. Bob enters room_1. Frank enters room_5. Frank enters room_4. Bob enters room_5. Edward enters room_4. Bob enters room_1. Bob enters room_2. Edward enters room_3. Bob enters room_1. Bob enters room_2. Bob enters room_3. Bob enters the_hallway. Bob enters room_1. Edward enters room_2. Frank enters room_5. Frank enters room_2. Danny enters the_hallway. Danny enters room_2. Bob enters the_hallway. Bob enters room_4. Frank enters room_1. Edward enters the_hallway. Danny enters room_1. Frank enters the_hallway. Edward enters room_1. Bob enters room_5. Frank enters room_2. Edward enters the_hallway. Frank enters the_hallway. Bob enters room_2. Bob enters the_hallway. Bob enters room_1. Danny enters room_5. Edward enters room_2. Bob enters room_2. Edward enters room_1. Edward enters room_5. Edward enters room_1. Frank enters room_2. Frank enters room_1,room_5,"Charlie,Alice",Georgia,room_4,,The text does not provide information on where Charlie watched Georgia go.
0,Danny enters room_1. Charlie enters room_1. Alice enters room_2. Alice enters room_1. Edward enters room_1. Georgia enters room_4. Frank enters room_1. Frank enters room_5. Bob enters room_2. Danny enters room_5. Edward enters room_5. Bob enters room_1. Georgia enters room_3. Georgia enters room_2. Danny enters room_2. Georgia enters the_hallway. Edward enters room_2. Georgia enters room_4. Charlie enters room_2. Charlie enters room_1. Bob enters room_2. Georgia enters room_5. Georgia enters room_1. Alice enters the_hallway. Georgia enters the_hallway. Charlie enters the_hallway. Charlie enters room_2. Charlie enters room_3. Bob enters room_3. Alice enters room_4. Bob enters room_4. Alice enters room_1. Georgia enters room_1. Charlie enters the_hallway. Alice enters room_5. Alice enters room_4. Alice enters room_3. Georgia enters room_5. Charlie enters room_1. Georgia enters room_4. Georgia enters room_3. Charlie enters room_5. Charlie enters room_4. Charlie enters room_3. Bob enters room_3. Bob enters the_hallway. Bob enters room_2. Georgia enters room_4. Bob enters room_1. Alice enters room_4. Alice enters room_5. Georgia enters room_5. Georgia enters room_2. Georgia enters the_hallway. Alice enters room_2. Charlie enters room_4. Georgia enters room_2. Bob enters room_2. Alice enters room_1. Bob enters room_1. Georgia enters the_hallway. Alice enters room_2. Alice enters room_3. Georgia enters room_1. Charlie enters room_1. Georgia enters room_2. Bob enters room_2. Bob enters room_1. Charlie enters the_hallway. Bob enters room_5. Alice enters room_2. Charlie enters room_1. Georgia enters the_hallway. Bob enters room_4. Bob enters room_5. Charlie enters room_5. Alice enters room_3. Bob enters room_1. Georgia enters room_4. Bob enters room_5. Bob enters room_2. Bob enters room_3. Charlie enters room_4. Georgia enters room_3. Bob enters room_2. Georgia enters room_4. Bob enters the_hallway. Bob enters room_1. Charlie enters room_1. Charlie enters the_hallway. Alice enters room_2. Alice enters room_1. Charlie enters room_2. Bob enters room_5. Alice enters room_2. Bob enters room_4. Alice enters room_1. Bob enters room_5. Charlie enters room_1. Alice enters the_hallway,room_2,"Frank,Danny",Edward,the_hallway,,Edward went to room_5.
0,Edward enters room_1. Alice enters room_1. Frank enters room_4. Danny enters room_2. Alice enters room_5. Bob enters room_1. Danny enters room_3. Georgia enters room_4. Edward enters room_5. Frank enters room_5. Bob enters room_5. Alice enters room_4. Alice enters room_3. Edward enters room_2. Georgia enters room_1. Alice enters the_hallway. Bob enters room_2. Frank enters room_1. Danny enters the_hallway. Danny enters room_2. Charlie enters room_2. Charlie enters room_1. Danny enters room_3. Georgia enters room_5. Georgia enters room_1. Frank enters the_hallway. Charlie enters room_2. Charlie enters the_hallway. Frank enters room_4. Danny enters room_2. Frank enters room_3. Frank enters room_4. Frank enters room_3. Frank enters room_2. Frank enters room_1. Frank enters room_2. Georgia enters room_5. Frank enters room_1. Charlie enters room_4. Georgia enters room_1. Charlie enters room_5. Charlie enters room_4. Charlie enters room_5. Georgia enters the_hallway. Charlie enters room_2. Frank enters room_5. Danny enters room_1. Frank enters room_2. Georgia enters room_1. Frank enters room_3. Charlie enters room_1. Danny enters room_5. Frank enters room_4. Danny enters room_4. Danny enters room_1. Georgia enters room_2. Frank enters room_1. Georgia enters room_3. Charlie enters the_hallway. Danny enters the_hallway. Georgia enters room_4. Charlie enters room_1. Charlie enters room_5. Danny enters room_1. Georgia enters room_5. Frank enters room_5. Frank enters room_2. Frank enters the_hallway. Georgia enters room_4. Frank enters room_2. Georgia enters room_3. Danny enters the_hallway. Danny enters room_2. Georgia enters the_hallway. Georgia enters room_4. Georgia enters room_3. Frank enters room_1. Georgia enters room_2. Georgia enters room_1. Frank enters room_5. Georgia enters room_5. Danny enters room_1. Frank enters room_2. Georgia enters room_1. Georgia enters room_2. Charlie enters room_4. Danny enters the_hallway. Charlie enters room_5. Danny enters room_1. Danny enters room_5. Danny enters room_1. Frank enters room_1. Frank enters room_5. Danny enters room_2. Frank enters room_1. Danny enters room_3. Frank enters the_hallway. Frank enters room_4. Charlie enters room_2. Danny enters the_hallway,room_2,"Alice,Edward",Bob,room_3,,Alice watched Bob go to room_2.
0,Alice enters room_4. Charlie enters room_4. Alice enters room_3. Edward enters room_4. Edward enters room_3. Danny enters room_4. Danny enters room_3. Edward enters the_hallway. Frank enters room_1. Edward enters room_4. Charlie enters room_3. Frank enters the_hallway. Alice enters the_hallway. Danny enters room_4. Frank enters room_2. Georgia enters room_2. Charlie enters room_4. Georgia enters room_1. Frank enters room_1. Frank enters room_2. Frank enters room_1. Edward enters room_3. Georgia enters room_5. Edward enters room_2. Frank enters the_hallway. Frank enters room_2. Edward enters room_1. Georgia enters room_2. Frank enters the_hallway. Frank enters room_2. Georgia enters room_3. Frank enters room_1. Bob enters room_2. Frank enters room_5. Frank enters room_4. Frank enters room_3. Frank enters room_2. Edward enters the_hallway. Georgia enters room_2. Bob enters the_hallway. Edward enters room_1. Edward enters room_2. Edward enters room_1. Edward enters room_5. Georgia enters room_1. Frank enters the_hallway. Edward enters room_2. Bob enters room_4. Edward enters room_3. Bob enters room_3. Frank enters room_4. Georgia enters the_hallway. Frank enters room_1. Edward enters room_2. Bob enters room_2. Bob enters room_1. Georgia enters room_1. Bob enters the_hallway. Edward enters the_hallway. Frank enters room_2. Edward enters room_2. Edward enters the_hallway. Bob enters room_1. Frank enters room_1. Frank enters room_5. Edward enters room_4. Edward enters room_5. Edward enters room_2. Frank enters room_2. Frank enters room_3. Edward enters room_1. Georgia enters room_2. Bob enters room_5. Edward enters room_2. Frank enters room_4. Bob enters room_2. Georgia enters the_hallway. Edward enters the_hallway. Frank enters room_3. Bob enters room_1. Bob enters the_hallway. Bob enters room_1. Frank enters room_4. Edward enters room_4. Frank enters room_5. Frank enters room_4. Georgia enters room_4. Bob enters room_5. Georgia enters room_5. Frank enters room_3. Bob enters room_2. Frank enters room_4. Edward enters room_3. Edward enters the_hallway. Georgia enters room_2. Edward enters room_4. Georgia enters the_hallway. Bob enters room_1. Edward enters room_5. Georgia enters room_4,room_4,"Alice,Danny",Charlie,room_1,,Alice watched Charlie go to room_3.
0,Frank enters room_2. Bob enters room_1. Charlie enters room_1. Edward enters room_1. Edward enters room_5. Charlie enters the_hallway. Charlie enters room_4. Bob enters room_5. Danny enters room_1. Georgia enters room_4. Danny enters room_5. Alice enters room_4. Frank enters room_1. Frank enters room_2. Bob enters room_4. Charlie enters room_5. Danny enters room_4. Frank enters the_hallway. Alice enters room_3. Georgia enters room_5. Frank enters room_4. Charlie enters room_4. Charlie enters room_3. Frank enters room_3. Georgia enters room_4. Charlie enters room_4. Charlie enters room_3. Alice enters the_hallway. Charlie enters room_2. Alice enters room_4. Georgia enters room_5. Alice enters room_3. Charlie enters the_hallway. Frank enters the_hallway. Charlie enters room_4. Alice enters room_4. Georgia enters room_1. Frank enters room_4. Alice enters room_3. Frank enters room_1. Charlie enters room_5. Georgia enters room_5. Alice enters the_hallway. Georgia enters room_4. Charlie enters room_2. Alice enters room_4. Alice enters room_5. Alice enters room_1. Frank enters the_hallway. Alice enters room_2. Alice enters the_hallway. Charlie enters the_hallway. Charlie enters room_2. Charlie enters the_hallway. Georgia enters room_5. Georgia enters room_1. Alice enters room_1. Alice enters room_2. Charlie enters room_4. Charlie enters room_5. Georgia enters room_2. Georgia enters room_1. Georgia enters room_2. Georgia enters room_1. Alice enters room_3. Georgia enters room_2. Frank enters room_4. Georgia enters room_3. Georgia enters room_4. Alice enters the_hallway. Alice enters room_2. Alice enters room_1. Charlie enters room_4. Alice enters the_hallway. Frank enters room_1. Frank enters room_2. Frank enters the_hallway. Charlie enters room_5. Georgia enters room_5. Georgia enters room_2. Charlie enters room_2. Alice enters room_1. Frank enters room_1. Georgia enters room_1. Charlie enters room_3. Charlie enters room_2. Alice enters room_5. Georgia enters room_2. Frank enters room_5. Alice enters room_4. Georgia enters the_hallway. Frank enters room_2. Alice enters room_3. Georgia enters room_2. Alice enters room_2. Georgia enters room_3. Frank enters room_1. Georgia enters room_4. Frank enters room_5. Alice enters room_3,room_4,"Edward,Bob",Danny,room_1,,Edward did not see Danny go anywhere because they were never in the same room at the same time.
0,Danny enters room_1. Charlie enters room_1. Edward enters room_1. Bob enters room_4. Danny enters the_hallway. Danny enters room_1. Edward enters room_5. Georgia enters room_4. Frank enters room_1. Frank enters room_5. Charlie enters room_5. Danny enters room_5. Danny enters room_1. Danny enters the_hallway. Edward enters room_4. Bob enters room_1. Charlie enters room_4. Georgia enters room_5. Alice enters room_4. Danny enters room_4. Alice enters room_1. Danny enters room_3. Georgia enters room_2. Georgia enters the_hallway. Alice enters room_5. Bob enters room_2. Danny enters room_2. Danny enters the_hallway. Danny enters room_4. Danny enters room_1. Alice enters room_2. Bob enters the_hallway. Georgia enters room_1. Bob enters room_2. Danny enters room_2. Danny enters the_hallway. Alice enters the_hallway. Georgia enters the_hallway. Alice enters room_2. Alice enters the_hallway. Danny enters room_1. Bob enters room_3. Danny enters room_2. Alice enters room_2. Alice enters the_hallway. Bob enters room_2. Georgia enters room_1. Bob enters room_3. Alice enters room_2. Bob enters the_hallway. Danny enters the_hallway. Georgia enters room_5. Danny enters room_4. Georgia enters room_4. Danny enters room_1. Danny enters room_2. Bob enters room_2. Danny enters the_hallway. Alice enters room_1. Bob enters room_3. Georgia enters room_3. Bob enters room_2. Bob enters the_hallway. Georgia enters room_2. Danny enters room_4. Bob enters room_1. Bob enters the_hallway. Georgia enters the_hallway. Georgia enters room_4. Bob enters room_4. Danny enters room_5. Georgia enters room_3. Georgia enters the_hallway. Danny enters room_2. Alice enters room_5. Danny enters room_1. Danny enters room_2. Georgia enters room_4. Georgia enters room_3. Danny enters room_1. Alice enters room_1. Bob enters room_3. Alice enters room_5. Georgia enters room_2. Bob enters room_2. Danny enters the_hallway. Georgia enters the_hallway. Bob enters room_1. Danny enters room_4. Bob enters the_hallway. Danny enters room_3. Georgia enters room_4. Alice enters room_4. Bob enters room_2. Georgia enters room_5. Danny enters room_4. Danny enters room_1. Alice enters room_5. Danny enters room_2. Danny enters room_1,room_4,"Frank,Edward",Charlie,room_1,,Frank watched Charlie enter room_4.
0,Danny enters room_4. Frank enters room_4. Alice enters room_4. Frank enters room_1. Frank enters the_hallway. Danny enters room_1. Bob enters room_1. Charlie enters room_1. Frank enters room_2. Frank enters the_hallway. Georgia enters room_1. Bob enters room_2. Edward enters room_4. Charlie enters the_hallway. Charlie enters room_2. Edward enters room_5. Georgia enters room_2. Danny enters the_hallway. Frank enters room_1. Danny enters room_4. Edward enters room_2. Alice enters room_1. Alice enters room_2. Danny enters room_3. Frank enters room_2. Alice enters room_3. Edward enters the_hallway. Frank enters room_1. Alice enters room_4. Alice enters room_1. Frank enters room_5. Alice enters room_2. Frank enters room_2. Frank enters room_1. Frank enters the_hallway. Edward enters room_2. Frank enters room_4. Edward enters the_hallway. Alice enters room_1. Edward enters room_1. Edward enters the_hallway. Danny enters the_hallway. Frank enters room_3. Danny enters room_4. Frank enters the_hallway. Danny enters room_3. Frank enters room_4. Alice enters room_2. Edward enters room_2. Danny enters room_4. Frank enters room_3. Alice enters room_3. Frank enters room_2. Frank enters room_3. Frank enters the_hallway. Edward enters room_1. Danny enters room_3. Edward enters room_2. Edward enters the_hallway. Edward enters room_4. Frank enters room_4. Frank enters room_1. Danny enters room_2. Edward enters room_3. Frank enters room_2. Alice enters room_2. Alice enters the_hallway. Danny enters the_hallway. Edward enters the_hallway. Frank enters room_3. Alice enters room_2. Frank enters room_2. Frank enters the_hallway. Edward enters room_2. Alice enters room_1. Danny enters room_1. Alice enters room_5. Edward enters room_1. Edward enters the_hallway. Edward enters room_4. Edward enters room_5. Edward enters room_2. Danny enters room_2. Edward enters room_3. Frank enters room_2. Edward enters room_2. Danny enters room_3. Danny enters room_2. Alice enters room_4. Edward enters room_3. Frank enters room_1. Frank enters room_2. Danny enters room_1. Frank enters the_hallway. Alice enters room_1. Danny enters room_5. Alice enters room_2. Edward enters the_hallway. Alice enters the_hallway. Danny enters room_1,room_2,"Charlie,Bob",Georgia,room_3,,Charlie did not see Georgia go anywhere the last time they were in the same room together.
0,Frank enters room_4. Danny enters room_2. Bob enters room_4. Edward enters room_2. Danny enters room_3. Danny enters room_2. Georgia enters room_4. Danny enters the_hallway. Frank enters room_1. Edward enters the_hallway. Alice enters room_4. Edward enters room_4. Danny enters room_4. Georgia enters room_5. Edward enters room_5. Bob enters room_1. Alice enters room_1. Edward enters room_1. Frank enters room_2. Danny enters room_1. Charlie enters room_4. Frank enters the_hallway. Edward enters the_hallway. Charlie enters room_5. Frank enters room_2. Charlie enters room_2. Danny enters room_5. Frank enters room_1. Charlie enters room_1. Edward enters room_4. Charlie enters room_2. Edward enters room_3. Charlie enters room_3. Edward enters room_2. Charlie enters the_hallway. Edward enters room_3. Charlie enters room_4. Edward enters room_4. Edward enters room_1. Edward enters room_2. Danny enters room_4. Charlie enters room_3. Danny enters room_3. Charlie enters room_4. Charlie enters room_1. Danny enters the_hallway. Edward enters room_1. Charlie enters room_2. Charlie enters room_1. Frank enters room_5. Danny enters room_2. Edward enters the_hallway. Charlie enters the_hallway. Danny enters room_3. Charlie enters room_1. Frank enters room_4. Charlie enters room_2. Frank enters room_5. Charlie enters room_1. Frank enters room_1. Charlie enters room_2. Edward enters room_4. Charlie enters room_1. Charlie enters the_hallway. Frank enters room_2. Frank enters the_hallway. Edward enters room_5. Danny enters the_hallway. Charlie enters room_2. Danny enters room_4. Danny enters room_5. Charlie enters the_hallway. Frank enters room_4. Edward enters room_1. Danny enters room_2. Danny enters room_1. Edward enters room_2. Charlie enters room_1. Danny enters the_hallway. Edward enters the_hallway. Charlie enters the_hallway. Danny enters room_1. Edward enters room_1. Charlie enters room_1. Danny enters room_5. Charlie enters the_hallway. Charlie enters room_2. Edward enters the_hallway. Frank enters room_5. Charlie enters room_3. Frank enters room_4. Danny enters room_2. Danny enters room_3. Danny enters room_4. Danny enters room_1. Charlie enters the_hallway. Frank enters room_5. Frank enters room_4. Frank enters room_5. Charlie enters room_4,room_1,"Georgia,Bob",Alice,the_hallway,,Georgia watched Alice go to room_1.
0,Frank enters room_4. Danny enters room_4. Georgia enters room_2. Frank enters room_3. Edward enters room_4. Georgia enters the_hallway. Edward enters room_3. Alice enters room_1. Georgia enters room_2. Alice enters the_hallway. Danny enters room_3. Georgia enters room_1. Alice enters room_4. Alice enters room_1. Edward enters room_4. Alice enters room_2. Danny enters room_4. Alice enters room_3. Georgia enters room_2. Bob enters room_4. Alice enters room_4. Georgia enters the_hallway. Georgia enters room_1. Alice enters room_1. Bob enters room_5. Georgia enters room_2. Charlie enters room_1. Georgia enters the_hallway. Bob enters room_2. Alice enters the_hallway. Bob enters room_1. Georgia enters room_4. Georgia enters room_5. Bob enters room_5. Georgia enters room_1. Alice enters room_1. Bob enters room_2. Georgia enters room_5. Charlie enters room_2. Georgia enters room_4. Bob enters room_1. Bob enters room_5. Charlie enters room_1. Alice enters room_5. Charlie enters the_hallway. Alice enters room_4. Bob enters room_2. Alice enters room_5. Alice enters room_1. Charlie enters room_4. Charlie enters room_5. Georgia enters room_5. Georgia enters room_4. Georgia enters room_3. Charlie enters room_2. Bob enters room_3. Georgia enters room_2. Charlie enters the_hallway. Bob enters the_hallway. Charlie enters room_1. Charlie enters room_5. Bob enters room_4. Charlie enters room_4. Charlie enters room_5. Charlie enters room_1. Bob enters room_5. Georgia enters room_3. Bob enters room_1. Alice enters room_5. Alice enters room_2. Alice enters room_3. Bob enters room_2. Alice enters room_2. Georgia enters room_2. Charlie enters room_5. Charlie enters room_2. Bob enters room_1. Charlie enters the_hallway. Alice enters room_1. Alice enters room_5. Georgia enters room_1. Georgia enters the_hallway. Alice enters room_4. Bob enters the_hallway. Alice enters room_5. Georgia enters room_2. Alice enters room_2. Alice enters room_1. Charlie enters room_2. Georgia enters the_hallway. Georgia enters room_1. Georgia enters room_2. Georgia enters the_hallway. Bob enters room_4. Bob enters room_1. Bob enters room_2. Alice enters room_5. Georgia enters room_4. Georgia enters room_5. Alice enters room_2,room_4,"Frank,Edward",Danny,room_1,,Frank watched Danny go to room_3.
