,Story,Label,P1,P2,Last,TOM Responses
0,Edward enters room_2. Hank enters room_1. Hank enters room_5. Jake enters room_2. Charlie enters room_2. Charlie enters the_hallway. Hank enters room_1. Hank enters room_2. Georgia enters room_2. Danny enters room_2. Alice enters room_2. Alice enters room_3. Jake enters room_1. Charlie enters room_4. Charlie enters room_1. Danny enters the_hallway. Bob enters room_2. Danny enters room_1. Edward enters room_3. Jake enters the_hallway. Jake enters room_2. Jake enters room_3. Bob enters room_3. Frank enters room_1. Bob enters room_4. Isaac enters room_2. Jake enters room_2. Jake enters room_1. Isaac enters the_hallway. Hank enters room_1. Danny enters room_2. Charlie enters room_2. Danny enters the_hallway. Danny enters room_1. Danny enters the_hallway. Edward enters room_2. Jake enters the_hallway. Frank enters the_hallway. Jake enters room_4. Jake enters room_5. Isaac enters room_4. Isaac enters room_5. Charlie enters room_3. Isaac enters room_1. Bob enters room_1. Edward enters the_hallway. Bob enters room_2. Frank enters room_2. Charlie enters the_hallway. Frank enters the_hallway. Bob enters room_1. Danny enters room_2. Bob enters the_hallway. Danny enters the_hallway. Hank enters room_2. Charlie enters room_4. Danny enters room_2. Hank enters room_1. Frank enters room_1. Charlie enters room_1. Edward enters room_2. Danny enters room_1. Alice enters the_hallway. Charlie enters room_5. Bob enters room_4. Danny enters room_5. Edward enters room_3. Charlie enters room_2. Charlie enters the_hallway. Charlie enters room_4. Bob enters room_5. Frank enters the_hallway. Frank enters room_4. Frank enters room_3. Danny enters room_1. Isaac enters room_2. Frank enters room_2. Frank enters room_1. Danny enters the_hallway. Jake enters room_4. Edward enters room_4. Jake enters room_5. Bob enters room_1. Jake enters room_1. Frank enters room_2. Hank enters the_hallway. Charlie enters room_3. Bob enters room_5. Charlie enters room_2. Isaac enters the_hallway. Bob enters room_4. Danny enters room_2. Charlie enters the_hallway. Hank enters room_4. Bob enters room_3. Hank enters room_3. Charlie enters room_2. Bob enters room_2. Jake enters room_2. Charlie enters room_1,room_3,Georgia,Alice,the_hallway,Georgia saw Alice enter room_3.
0,Georgia enters room_2. Frank enters room_1. Charlie enters room_2. Danny enters room_4. Isaac enters room_1. Jake enters room_1. Frank enters the_hallway. Edward enters room_1. Frank enters room_4. Jake enters the_hallway. Bob enters room_4. Bob enters room_3. Frank enters room_3. Jake enters room_4. Edward enters the_hallway. Frank enters room_4. Edward enters room_1. Isaac enters room_2. Hank enters room_4. Frank enters room_1. Frank enters the_hallway. Georgia enters room_3. Jake enters room_5. Alice enters room_1. Hank enters room_1. Jake enters room_2. Alice enters room_5. Alice enters room_2. Charlie enters room_1. Isaac enters room_3. Edward enters room_5. Alice enters room_3. Isaac enters room_4. Georgia enters room_4. Alice enters room_2. Isaac enters room_5. Jake enters room_1. Alice enters the_hallway. Georgia enters room_5. Alice enters room_4. Alice enters room_3. Hank enters room_2. Charlie enters room_2. Alice enters room_2. Alice enters room_3. Alice enters the_hallway. Charlie enters room_1. Georgia enters room_4. Isaac enters room_1. Isaac enters room_5. Edward enters room_2. Edward enters the_hallway. Alice enters room_4. Alice enters room_5. Isaac enters room_4. Hank enters the_hallway. Edward enters room_1. Jake enters the_hallway. Georgia enters room_3. Alice enters room_1. Jake enters room_2. Georgia enters room_4. Bob enters room_5. Isaac enters room_1. Alice enters room_5. Charlie enters room_5. Charlie enters room_4. Frank enters room_2. Hank enters room_2. Alice enters room_4. Georgia enters room_3. Hank enters the_hallway. Georgia enters room_4. Isaac enters room_5. Jake enters room_1. Jake enters room_5. Frank enters room_3. Alice enters room_3. Isaac enters room_2. Alice enters room_2. Hank enters room_4. Charlie enters room_5. Hank enters room_1. Hank enters room_2. Charlie enters room_2. Charlie enters room_1. Isaac enters room_3. Frank enters the_hallway. Edward enters room_2. Edward enters the_hallway. Alice enters the_hallway. Jake enters room_1. Georgia enters room_3. Georgia enters room_2. Frank enters room_1. Jake enters the_hallway. Isaac enters room_4. Charlie enters the_hallway. Jake enters room_4. Georgia enters room_3,room_3,Danny,Bob,room_5,The story does not provide information on when Danny and Bob were in the same room.
0,Alice enters room_2. Frank enters room_4. Bob enters room_1. Bob enters room_2. Jake enters room_2. Hank enters room_1. Jake enters room_1. Edward enters room_4. Jake enters room_2. Frank enters room_3. Edward enters room_3. Edward enters room_2. Hank enters room_5. Georgia enters room_1. Hank enters room_4. Charlie enters room_1. Charlie enters room_5. Danny enters room_2. Isaac enters room_4. Danny enters room_1. Bob enters room_3. Bob enters room_4. Isaac enters room_5. Jake enters the_hallway. Jake enters room_2. Alice enters the_hallway. Georgia enters the_hallway. Jake enters the_hallway. Danny enters room_2. Alice enters room_1. Danny enters room_1. Isaac enters room_2. Bob enters room_3. Bob enters room_4. Isaac enters room_1. Hank enters room_1. Isaac enters room_2. Danny enters room_2. Danny enters room_1. Hank enters the_hallway. Charlie enters room_2. Bob enters room_3. Georgia enters room_1. Jake enters room_2. Charlie enters room_1. Danny enters the_hallway. Hank enters room_2. Bob enters room_4. Charlie enters the_hallway. Jake enters room_3. Charlie enters room_2. Charlie enters the_hallway. Danny enters room_4. Hank enters room_1. Isaac enters room_1. Danny enters room_3. Jake enters room_4. Danny enters the_hallway. Danny enters room_1. Georgia enters room_5. Hank enters the_hallway. Alice enters room_2. Edward enters room_4. Bob enters room_3. Hank enters room_2. Charlie enters room_2. Alice enters room_1. Charlie enters room_1. Alice enters room_2. Danny enters the_hallway. Georgia enters room_4. Alice enters room_3. Alice enters the_hallway. Danny enters room_2. Georgia enters room_5. Charlie enters the_hallway. Hank enters the_hallway. Charlie enters room_2. Georgia enters room_1. Bob enters room_4. Danny enters room_1. Hank enters room_2. Hank enters room_3. Danny enters room_5. Charlie enters room_3. Isaac enters the_hallway. Georgia enters the_hallway. Alice enters room_1. Alice enters room_2. Bob enters room_1. Hank enters room_4. Danny enters room_2. Charlie enters the_hallway. Bob enters room_5. Bob enters room_4. Danny enters room_3. Jake enters room_1. Jake enters the_hallway. Hank enters room_5. Bob enters room_3,room_2,Frank,Edward,room_4,room_2
0,Frank enters room_1. Frank enters room_2. Bob enters room_4. Georgia enters room_1. Isaac enters room_4. Jake enters room_2. Georgia enters room_2. Alice enters room_4. Hank enters room_4. Bob enters room_3. Isaac enters room_3. Isaac enters room_4. Charlie enters room_4. Alice enters room_3. Alice enters room_4. Jake enters room_3. Charlie enters room_1. Georgia enters the_hallway. Edward enters room_1. Georgia enters room_2. Hank enters room_3. Georgia enters room_3. Charlie enters room_2. Edward enters room_5. Georgia enters room_4. Danny enters room_1. Danny enters room_5. Jake enters room_2. Georgia enters room_1. Hank enters room_4. Alice enters room_5. Danny enters room_1. Hank enters room_5. Alice enters room_4. Alice enters room_1. Edward enters room_4. Jake enters room_3. Frank enters the_hallway. Frank enters room_2. Georgia enters room_5. Jake enters room_2. Georgia enters room_2. Hank enters room_4. Danny enters the_hallway. Danny enters room_2. Jake enters the_hallway. Hank enters room_5. Jake enters room_1. Frank enters room_1. Hank enters room_4. Hank enters room_3. Frank enters room_5. Hank enters the_hallway. Danny enters room_1. Frank enters room_2. Jake enters the_hallway. Jake enters room_1. Alice enters room_2. Danny enters the_hallway. Alice enters room_3. Edward enters room_3. Danny enters room_2. Isaac enters room_2. Danny enters room_3. Georgia enters room_1. Frank enters the_hallway. Edward enters room_2. Frank enters room_4. Danny enters room_4. Frank enters room_5. Frank enters room_1. Alice enters the_hallway. Danny enters room_1. Charlie enters room_3. Frank enters the_hallway. Hank enters room_2. Georgia enters the_hallway. Georgia enters room_4. Frank enters room_4. Hank enters room_3. Danny enters room_2. Jake enters the_hallway. Edward enters room_1. Edward enters the_hallway. Edward enters room_1. Danny enters the_hallway. Frank enters room_3. Danny enters room_4. Hank enters room_4. Alice enters room_2. Jake enters room_2. Hank enters room_3. Frank enters room_2. Georgia enters room_3. Frank enters room_1. Edward enters room_2. Jake enters the_hallway. Edward enters room_1. Georgia enters room_4. Georgia enters room_1,room_4,Bob,Isaac,room_2,room_4
0,Georgia enters room_1. Georgia enters room_2. Georgia enters room_1. Charlie enters room_4. Edward enters room_4. Isaac enters room_1. Bob enters room_2. Frank enters room_1. Frank enters room_2. Edward enters room_3. Danny enters room_4. Danny enters room_1. Frank enters the_hallway. Isaac enters room_2. Hank enters room_2. Edward enters the_hallway. Bob enters room_3. Frank enters room_4. Alice enters room_1. Hank enters room_3. Isaac enters room_3. Georgia enters room_5. Frank enters room_3. Bob enters room_2. Alice enters room_2. Isaac enters room_2. Bob enters room_3. Edward enters room_2. Hank enters room_2. Frank enters the_hallway. Edward enters the_hallway. Alice enters room_1. Hank enters room_1. Hank enters room_5. Frank enters room_4. Frank enters room_5. Edward enters room_2. Georgia enters room_2. Georgia enters room_3. Edward enters room_1. Jake enters room_1. Bob enters the_hallway. Edward enters room_2. Hank enters room_1. Bob enters room_2. Jake enters room_5. Edward enters the_hallway. Georgia enters room_2. Alice enters room_2. Alice enters room_3. Bob enters room_1. Hank enters the_hallway. Edward enters room_4. Hank enters room_4. Georgia enters room_1. Jake enters room_1. Alice enters the_hallway. Jake enters the_hallway. Hank enters room_3. Bob enters room_5. Georgia enters the_hallway. Frank enters room_4. Danny enters room_5. Edward enters room_1. Isaac enters the_hallway. Edward enters the_hallway. Isaac enters room_2. Alice enters room_1. Frank enters room_5. Jake enters room_4. Edward enters room_4. Alice enters room_5. Jake enters room_5. Georgia enters room_2. Edward enters room_5. Edward enters room_2. Alice enters room_2. Frank enters room_4. Alice enters room_1. Bob enters room_1. Frank enters room_3. Frank enters room_4. Edward enters room_3. Jake enters room_1. Bob enters the_hallway. Isaac enters room_1. Isaac enters room_2. Frank enters room_5. Georgia enters the_hallway. Bob enters room_1. Isaac enters room_3. Hank enters room_4. Edward enters room_2. Frank enters room_4. Georgia enters room_1. Jake enters room_2. Edward enters room_3. Edward enters room_2. Alice enters room_5. Edward enters room_1,room_1,Charlie,Danny,room_5,The story does not provide information on Charlie watching Danny go anywhere.
0,Isaac enters room_4. Hank enters room_4. Alice enters room_1. Hank enters room_1. Danny enters room_4. Isaac enters room_1. Charlie enters room_2. Isaac enters room_2. Frank enters room_2. Bob enters room_4. Edward enters room_4. Edward enters room_5. Alice enters the_hallway. Charlie enters room_3. Charlie enters room_4. Georgia enters room_4. Charlie enters room_3. Charlie enters the_hallway. Danny enters room_1. Frank enters the_hallway. Danny enters room_5. Jake enters room_4. Jake enters room_5. Charlie enters room_1. Alice enters room_1. Danny enters room_1. Frank enters room_4. Isaac enters room_1. Jake enters room_4. Isaac enters room_2. Jake enters room_3. Charlie enters the_hallway. Jake enters room_2. Hank enters the_hallway. Jake enters room_3. Isaac enters room_3. Alice enters room_5. Alice enters room_2. Charlie enters room_1. Danny enters room_2. Alice enters room_3. Hank enters room_2. Hank enters room_1. Hank enters room_5. Frank enters room_5. Isaac enters room_4. Isaac enters room_1. Frank enters room_2. Charlie enters room_2. Hank enters room_4. Isaac enters room_2. Danny enters room_3. Danny enters room_2. Charlie enters the_hallway. Isaac enters room_1. Georgia enters room_1. Alice enters room_2. Jake enters the_hallway. Hank enters room_1. Alice enters room_1. Jake enters room_2. Charlie enters room_1. Edward enters room_3. Isaac enters the_hallway. Georgia enters room_2. Jake enters room_3. Georgia enters the_hallway. Alice enters the_hallway. Hank enters room_5. Danny enters room_3. Alice enters room_1. Hank enters room_1. Frank enters room_1. Hank enters room_5. Jake enters room_4. Alice enters room_2. Danny enters the_hallway. Georgia enters room_1. Frank enters the_hallway. Hank enters room_1. Hank enters room_2. Jake enters room_5. Hank enters the_hallway. Georgia enters the_hallway. Hank enters room_4. Frank enters room_2. Jake enters room_1. Charlie enters the_hallway. Hank enters room_5. Charlie enters room_2. Hank enters room_4. Isaac enters room_2. Isaac enters the_hallway. Alice enters the_hallway. Frank enters room_1. Georgia enters room_1. Georgia enters room_5. Georgia enters room_1. Georgia enters room_5. Alice enters room_2,room_5,Bob,Edward,room_3,room_5
0,Alice enters room_2. Georgia enters room_1. Charlie enters room_4. Georgia enters room_2. Bob enters room_2. Danny enters room_1. Alice enters the_hallway. Edward enters room_1. Isaac enters room_1. Charlie enters room_5. Hank enters room_1. Hank enters room_2. Alice enters room_2. Edward enters room_5. Georgia enters the_hallway. Jake enters room_2. Frank enters room_4. Isaac enters room_2. Frank enters room_1. Frank enters room_2. Edward enters room_2. Georgia enters room_2. Alice enters room_1. Edward enters room_3. Isaac enters room_1. Edward enters room_2. Charlie enters room_2. Isaac enters room_2. Frank enters room_3. Edward enters room_1. Charlie enters room_3. Jake enters the_hallway. Jake enters room_4. Charlie enters room_4. Frank enters room_4. Jake enters room_3. Jake enters the_hallway. Frank enters room_1. Bob enters the_hallway. Frank enters room_2. Georgia enters room_1. Isaac enters room_3. Jake enters room_1. Georgia enters room_2. Bob enters room_4. Edward enters room_2. Alice enters room_5. Jake enters room_2. Edward enters room_1. Frank enters room_3. Jake enters the_hallway. Charlie enters room_3. Frank enters room_4. Edward enters the_hallway. Frank enters room_3. Isaac enters room_4. Bob enters room_3. Charlie enters the_hallway. Isaac enters room_5. Frank enters room_4. Georgia enters the_hallway. Bob enters room_4. Hank enters room_5. Frank enters room_3. Georgia enters room_1. Frank enters room_2. Georgia enters room_2. Alice enters room_2. Bob enters room_1. Frank enters room_1. Charlie enters room_1. Edward enters room_1. Isaac enters room_1. Charlie enters room_5. Georgia enters room_1. Georgia enters the_hallway. Frank enters room_2. Frank enters room_3. Jake enters room_4. Charlie enters room_2. Jake enters room_1. Jake enters room_5. Isaac enters the_hallway. Edward enters the_hallway. Charlie enters the_hallway. Jake enters room_1. Charlie enters room_4. Jake enters room_2. Edward enters room_4. Georgia enters room_2. Alice enters the_hallway. Bob enters room_2. Edward enters room_3. Isaac enters room_1. Alice enters room_4. Frank enters the_hallway. Jake enters room_1. Bob enters room_3. Bob enters the_hallway. Isaac enters room_5,room_2,Danny,Hank,room_5,room_2
0,Jake enters room_2. Hank enters room_4. Alice enters room_1. Frank enters room_1. Frank enters the_hallway. Danny enters room_2. Hank enters room_3. Edward enters room_4. Isaac enters room_2. Edward enters room_3. Bob enters room_2. Bob enters the_hallway. Isaac enters room_3. Alice enters room_2. Georgia enters room_2. Danny enters room_3. Hank enters room_2. Charlie enters room_4. Hank enters room_1. Hank enters the_hallway. Isaac enters the_hallway. Georgia enters room_1. Edward enters room_2. Frank enters room_1. Frank enters room_5. Georgia enters the_hallway. Hank enters room_4. Hank enters room_1. Edward enters room_1. Frank enters room_4. Isaac enters room_1. Alice enters room_1. Alice enters room_5. Edward enters room_5. Georgia enters room_2. Hank enters the_hallway. Charlie enters room_1. Isaac enters room_2. Hank enters room_2. Frank enters room_1. Alice enters room_4. Edward enters room_4. Alice enters room_1. Georgia enters room_1. Georgia enters the_hallway. Frank enters the_hallway. Frank enters room_4. Frank enters room_1. Danny enters room_2. Frank enters the_hallway. Hank enters the_hallway. Georgia enters room_1. Danny enters room_3. Danny enters room_2. Alice enters room_2. Georgia enters the_hallway. Isaac enters room_1. Isaac enters room_2. Edward enters room_3. Isaac enters the_hallway. Alice enters the_hallway. Edward enters the_hallway. Bob enters room_3. Alice enters room_1. Georgia enters room_2. Charlie enters room_5. Danny enters room_3. Danny enters room_2. Hank enters room_2. Georgia enters the_hallway. Frank enters room_4. Charlie enters room_4. Hank enters room_3. Hank enters room_2. Alice enters the_hallway. Isaac enters room_4. Hank enters the_hallway. Edward enters room_2. Georgia enters room_2. Edward enters room_3. Danny enters room_1. Edward enters the_hallway. Hank enters room_2. Georgia enters the_hallway. Georgia enters room_4. Edward enters room_4. Isaac enters room_1. Frank enters room_5. Georgia enters room_5. Isaac enters room_2. Danny enters room_5. Alice enters room_4. Hank enters the_hallway. Georgia enters room_1. Alice enters room_5. Isaac enters the_hallway. Charlie enters room_1. Danny enters room_2. Isaac enters room_1. Alice enters room_4,the_hallway,Jake,Bob,room_3,the_hallway
0,Georgia enters room_1. Isaac enters room_4. Edward enters room_4. Edward enters room_3. Charlie enters room_1. Bob enters room_1. Danny enters room_1. Bob enters the_hallway. Frank enters room_1. Alice enters room_2. Hank enters room_1. Hank enters room_2. Charlie enters room_5. Georgia enters room_2. Bob enters room_1. Bob enters room_2. Isaac enters room_1. Charlie enters room_2. Georgia enters room_3. Alice enters room_3. Danny enters the_hallway. Bob enters room_1. Jake enters room_1. Alice enters room_2. Isaac enters the_hallway. Alice enters room_1. Isaac enters room_4. Bob enters room_2. Georgia enters room_4. Bob enters room_1. Alice enters the_hallway. Isaac enters room_3. Jake enters room_5. Georgia enters room_5. Danny enters room_2. Bob enters room_5. Charlie enters room_3. Danny enters room_3. Bob enters room_2. Isaac enters room_4. Edward enters room_4. Charlie enters the_hallway. Danny enters room_2. Georgia enters room_4. Bob enters room_1. Charlie enters room_4. Edward enters room_1. Alice enters room_4. Danny enters room_1. Edward enters room_2. Alice enters room_3. Charlie enters room_1. Alice enters room_4. Bob enters room_5. Edward enters room_3. Isaac enters room_5. Bob enters room_1. Isaac enters room_4. Danny enters room_5. Charlie enters the_hallway. Charlie enters room_4. Charlie enters room_1. Hank enters room_5. Alice enters room_1. Isaac enters room_5. Isaac enters room_4. Jake enters room_1. Alice enters the_hallway. Isaac enters room_5. Georgia enters room_1. Jake enters the_hallway. Jake enters room_4. Isaac enters room_1. Georgia enters room_5. Bob enters room_2. Danny enters room_2. Charlie enters room_2. Jake enters room_1. Bob enters room_3. Isaac enters room_5. Bob enters room_2. Isaac enters room_2. Alice enters room_4. Alice enters room_3. Edward enters room_2. Alice enters room_2. Alice enters room_3. Isaac enters room_1. Charlie enters room_3. Bob enters room_3. Jake enters room_5. Jake enters room_4. Alice enters the_hallway. Charlie enters room_4. Isaac enters room_2. Edward enters room_1. Jake enters room_1. Danny enters the_hallway. Alice enters room_4. Danny enters room_1,room_2,Frank,Hank,room_5,Frank did not see Hank go anywhere because they were never in the same room at the same time.
0,Edward enters room_1. Hank enters room_1. Charlie enters room_1. Charlie enters room_5. Frank enters room_1. Isaac enters room_4. Alice enters room_2. Frank enters the_hallway. Bob enters room_1. Danny enters room_2. Georgia enters room_4. Georgia enters room_5. Alice enters room_3. Bob enters the_hallway. Edward enters the_hallway. Frank enters room_4. Hank enters the_hallway. Jake enters room_1. Jake enters room_2. Edward enters room_2. Danny enters room_3. Hank enters room_1. Frank enters room_1. Charlie enters room_2. Edward enters room_1. Frank enters room_5. Danny enters room_4. Edward enters room_2. Frank enters room_1. Frank enters the_hallway. Danny enters room_5. Jake enters room_3. Danny enters room_1. Bob enters room_2. Alice enters the_hallway. Bob enters room_3. Danny enters room_2. Alice enters room_1. Hank enters room_2. Edward enters the_hallway. Edward enters room_2. Danny enters room_1. Frank enters room_2. Alice enters room_2. Bob enters the_hallway. Hank enters room_1. Hank enters the_hallway. Alice enters room_1. Danny enters the_hallway. Bob enters room_4. Hank enters room_2. Alice enters room_5. Bob enters room_3. Frank enters the_hallway. Jake enters the_hallway. Hank enters room_1. Hank enters room_2. Jake enters room_2. Danny enters room_4. Charlie enters the_hallway. Charlie enters room_1. Alice enters room_2. Georgia enters room_5. Jake enters room_3. Hank enters room_3. Alice enters the_hallway. Alice enters room_4. Bob enters room_2. Hank enters the_hallway. Jake enters room_4. Frank enters room_2. Jake enters room_5. Charlie enters room_5. Alice enters room_3. Jake enters room_4. Frank enters room_1. Hank enters room_4. Bob enters room_1. Charlie enters room_2. Alice enters room_2. Charlie enters room_1. Danny enters room_5. Bob enters the_hallway. Jake enters room_1. Jake enters room_5. Charlie enters room_2. Bob enters room_4. Bob enters room_5. Danny enters room_2. Edward enters the_hallway. Danny enters room_1. Hank enters room_1. Frank enters room_5. Bob enters room_1. Danny enters the_hallway. Danny enters room_2. Bob enters room_2. Hank enters room_2. Alice enters room_1. Bob enters room_3,room_5,Isaac,Georgia,room_5,Isaac watched Georgia enter room_5.
