Story,Label,P1,P2,Responses
Alice jumps in hole_4. Charlie jumps in hole_1. Edward jumps in hole_4. Charlie jumps in hole_3. Charlie jumps out to the field. Charlie jumps in hole_2. Charlie jumps out to the field. Charlie jumps in hole_4. Danny jumps in hole_4. Charlie jumps in hole_3. Bob jumps in hole_4. Bob jumps in hole_3. Charlie jumps out to the field. Charlie jumps in hole_1. Charlie jumps out to the field. Bob jumps in hole_2. Charlie jumps in hole_2. Charlie jumps out to the field. Charlie jumps in hole_1. Charlie jumps out to the field. Charlie jumps in hole_4. Charlie jumps in hole_1. Charlie jumps out to the field. Charlie jumps in hole_4. Charlie jumps in hole_3,hole_3,"Danny,Alice,Edward",Bob,Edward thinks Bob is in hole_3.
Bob jumps in hole_1. Bob jumps in hole_1. Edward jumps in hole_4. Edward jumps in hole_3. Edward jumps in hole_4. Danny jumps in hole_1. Alice jumps in hole_1. Edward jumps out to the field. Edward jumps in hole_4. Edward jumps out to the field. Charlie jumps in hole_1. Charlie jumps out to the field. Edward jumps in hole_4. Edward jumps out to the field. Edward jumps in hole_4. Charlie jumps in hole_2. Edward jumps in hole_3. Edward jumps out to the field. Edward jumps in hole_1. Edward jumps in hole_3. Edward jumps out to the field. Edward jumps in hole_2. Edward jumps in hole_1. Edward jumps in hole_3. Edward jumps in hole_4,field,"Alice,Danny,Bob",Charlie,Bob thinks Charlie is in hole_2.
Edward jumps in hole_2. Bob jumps in hole_1. Alice jumps in hole_2. Alice jumps in hole_3. Bob jumps in hole_4. Edward jumps out to the field. Charlie jumps in hole_4. Edward jumps in hole_4. Alice jumps in hole_4. Edward jumps in hole_1. Danny jumps in hole_4. Danny jumps in hole_1. Edward jumps in hole_3. Edward jumps in hole_4. Edward jumps out to the field. Danny jumps in hole_3. Edward jumps in hole_4. Edward jumps out to the field. Edward jumps in hole_1. Edward jumps out to the field. Edward jumps in hole_1. Edward jumps in hole_2. Edward jumps in hole_1. Edward jumps out to the field. Edward jumps in hole_1,hole_1,"Bob,Charlie,Alice",Danny,Alice thinks Danny is in hole_1.
Alice jumps in hole_2. Alice jumps in hole_1. Edward jumps in hole_4. Edward jumps in hole_3. Bob jumps in hole_1. Alice jumps in hole_3. Charlie jumps in hole_4. Edward jumps in hole_2. Alice jumps in hole_4. Alice jumps in hole_3. Charlie jumps out to the field. Charlie jumps in hole_1. Alice jumps in hole_2. Alice jumps in hole_1. Alice jumps in hole_2. Charlie jumps in hole_3. Alice jumps in hole_3. Alice jumps in hole_4. Alice jumps in hole_1. Alice jumps out to the field. Alice jumps in hole_2. Alice jumps in hole_1. Alice jumps out to the field. Alice jumps in hole_1. Alice jumps in hole_3,hole_1,"Bob,Danny,Edward",Charlie,Edward would think that Charlie is in hole_3.
Danny jumps in hole_1. Edward jumps in hole_2. Edward jumps in hole_1. Edward jumps out to the field. Edward jumps in hole_4. Alice jumps in hole_1. Edward jumps out to the field. Charlie jumps in hole_1. Edward jumps in hole_1. Edward jumps in hole_2. Bob jumps in hole_1. Bob jumps in hole_3. Edward jumps in hole_3. Edward jumps out to the field. Edward jumps in hole_4. Bob jumps in hole_4. Edward jumps in hole_1. Edward jumps out to the field. Edward jumps in hole_1. Edward jumps in hole_3. Edward jumps out to the field. Edward jumps in hole_2. Edward jumps out to the field. Edward jumps in hole_1. Edward jumps out to the field,hole_3,"Danny,Alice,Charlie",Bob,Charlie thinks Bob is in hole_3.
Bob jumps in hole_1. Bob jumps in hole_1. Edward jumps in hole_1. Bob jumps in hole_3. Danny jumps in hole_4. Edward jumps in hole_3. Danny jumps out to the field. Charlie jumps in hole_1. Charlie jumps in hole_3. Alice jumps in hole_1. Alice jumps in hole_3. Alice jumps in hole_4. Danny jumps in hole_1. Danny jumps in hole_2. Danny jumps in hole_1. Alice jumps out to the field. Danny jumps in hole_2. Danny jumps in hole_1. Danny jumps in hole_2. Danny jumps in hole_1. Danny jumps out to the field. Danny jumps in hole_2. Danny jumps out to the field. Danny jumps in hole_2. Danny jumps in hole_3,hole_4,"Edward,Bob,Charlie",Alice,"Danny and Alice are in the same location when Alice jumps in hole_4 and Charlie can see where she goes. Since Alice is not seen coming back to the field, Charlie will think Alice is in hole_4."
Edward jumps in hole_4. Charlie jumps in hole_4. Edward jumps in hole_1. Alice jumps in hole_2. Alice jumps out to the field. Alice jumps in hole_1. Bob jumps in hole_2. Edward jumps out to the field. Edward jumps in hole_2. Alice jumps in hole_2. Edward jumps out to the field. Edward jumps in hole_4. Charlie jumps in hole_3. Charlie jumps out to the field. Charlie jumps in hole_4. Edward jumps in hole_1. Charlie jumps in hole_3. Charlie jumps out to the field. Charlie jumps in hole_4. Charlie jumps in hole_3. Charlie jumps out to the field. Charlie jumps in hole_1. Charlie jumps out to the field. Charlie jumps in hole_4. Charlie jumps in hole_1,hole_4,"Alice,Danny,Bob",Edward,Bob would think Edward is in hole_2.
Alice jumps in hole_2. Bob jumps in hole_2. Alice jumps out to the field. Edward jumps in hole_2. Edward jumps in hole_3. Charlie jumps in hole_4. Bob jumps in hole_3. Alice jumps in hole_1. Alice jumps out to the field. Danny jumps in hole_2. Danny jumps out to the field. Danny jumps in hole_2. Bob jumps in hole_4. Bob jumps out to the field. Bob jumps in hole_4. Danny jumps in hole_1. Bob jumps out to the field. Bob jumps in hole_4. Bob jumps out to the field. Bob jumps in hole_4. Bob jumps out to the field. Bob jumps in hole_2. Bob jumps in hole_1. Bob jumps in hole_3. Bob jumps out to the field,hole_2,"Charlie,Alice,Edward",Danny,Edward thinks Danny is in hole_1.
Charlie jumps in hole_1. Charlie jumps in hole_2. Bob jumps in hole_1. Bob jumps in hole_3. Bob jumps out to the field. Danny jumps in hole_4. Bob jumps in hole_1. Edward jumps in hole_2. Alice jumps in hole_4. Alice jumps out to the field. Charlie jumps out to the field. Charlie jumps in hole_4. Bob jumps out to the field. Bob jumps in hole_2. Bob jumps out to the field. Charlie jumps in hole_3. Bob jumps in hole_4. Bob jumps in hole_1. Bob jumps in hole_2. Bob jumps in hole_1. Bob jumps in hole_2. Bob jumps out to the field. Bob jumps in hole_1. Bob jumps out to the field. Bob jumps in hole_1,hole_4,"Alice,Edward,Danny",Charlie,Danny thinks Charlie is in hole_1.
Alice jumps in hole_2. Danny jumps in hole_2. Alice jumps in hole_1. Bob jumps in hole_1. Charlie jumps in hole_1. Bob jumps out to the field. Danny jumps in hole_1. Bob jumps in hole_2. Bob jumps in hole_3. Bob jumps in hole_4. Edward jumps in hole_1. Edward jumps in hole_2. Bob jumps out to the field. Bob jumps in hole_2. Bob jumps out to the field. Edward jumps in hole_3. Bob jumps in hole_4. Bob jumps out to the field. Bob jumps in hole_1. Bob jumps out to the field. Bob jumps in hole_1. Bob jumps in hole_2. Bob jumps out to the field. Bob jumps in hole_4. Bob jumps in hole_3,hole_2,"Charlie,Danny,Alice",Edward,Alice would think Edward is in hole_3.
