Story,Label,P1,P2,Responses
Bob jumps in hole_2. Charlie jumps in hole_1. Charlie jumps in hole_3. Charlie jumps out to the field. Bob jumps out to the field. Bob jumps in hole_2. Charlie jumps in hole_4. Charlie jumps in hole_3. Danny jumps in hole_2. Bob jumps out to the field. Alice jumps in hole_2. Alice jumps in hole_3. Alice jumps out to the field. Bob jumps in hole_1. Charlie jumps out to the field. Bob jumps in hole_3. Bob jumps out to the field. Bob jumps in hole_2. Bob jumps in hole_1. Bob jumps out to the field. Charlie jumps in hole_4. Charlie jumps in hole_1. Charlie jumps out to the field. Bob jumps in hole_4. Charlie jumps in hole_1,hole_3,Danny,Alice,Danny thinks Alice is in the field.
Charlie jumps in hole_1. Charlie jumps in hole_3. Charlie jumps out to the field. Charlie jumps in hole_1. Charlie jumps out to the field. Charlie jumps in hole_1. Danny jumps in hole_4. Danny jumps out to the field. Alice jumps in hole_4. Danny jumps in hole_4. Bob jumps in hole_4. Bob jumps in hole_1. Bob jumps out to the field. Danny jumps in hole_1. Danny jumps out to the field. Danny jumps in hole_4. Charlie jumps out to the field. Danny jumps out to the field. Charlie jumps in hole_2. Charlie jumps out to the field. Charlie jumps in hole_1. Danny jumps in hole_2. Charlie jumps in hole_3. Danny jumps out to the field. Charlie jumps in hole_2,hole_1,Alice,Bob,Alice thinks Bob is in the field.
Alice jumps in hole_4. Alice jumps in hole_1. Alice jumps in hole_3. Alice jumps out to the field. Alice jumps in hole_1. Alice jumps in hole_3. Bob jumps in hole_1. Alice jumps in hole_4. Alice jumps in hole_1. Alice jumps out to the field. Charlie jumps in hole_1. Charlie jumps out to the field. Charlie jumps in hole_4. Alice jumps in hole_2. Alice jumps in hole_3. Alice jumps in hole_4. Danny jumps in hole_4. Danny jumps out to the field. Danny jumps in hole_1. Alice jumps out to the field. Danny jumps in hole_2. Danny jumps in hole_1. Danny jumps in hole_2. Alice jumps in hole_4. Danny jumps in hole_1,field,Bob,Charlie,Bob thinks Charlie is in hole_4.
Alice jumps in hole_1. Alice jumps in hole_3. Alice jumps in hole_2. Charlie jumps in hole_2. Alice jumps in hole_1. Alice jumps in hole_3. Alice jumps out to the field. Charlie jumps in hole_3. Bob jumps in hole_4. Alice jumps in hole_1. Danny jumps in hole_4. Danny jumps out to the field. Danny jumps in hole_2. Alice jumps in hole_2. Alice jumps in hole_1. Charlie jumps in hole_2. Alice jumps in hole_2. Alice jumps in hole_1. Charlie jumps in hole_1. Charlie jumps in hole_3. Charlie jumps out to the field. Alice jumps out to the field. Charlie jumps in hole_2. Alice jumps in hole_1. Alice jumps out to the field,field,Bob,Danny,Bob thinks Danny is in hole_2.
Charlie jumps in hole_4. Danny jumps in hole_4. Charlie jumps in hole_3. Danny jumps out to the field. Charlie jumps in hole_4. Charlie jumps out to the field. Bob jumps in hole_1. Charlie jumps in hole_1. Danny jumps in hole_1. Danny jumps out to the field. Alice jumps in hole_1. Alice jumps in hole_3. Alice jumps out to the field. Charlie jumps in hole_3. Charlie jumps in hole_4. Danny jumps in hole_4. Danny jumps out to the field. Charlie jumps in hole_3. Danny jumps in hole_2. Danny jumps out to the field. Charlie jumps out to the field. Charlie jumps in hole_2. Charlie jumps in hole_1. Danny jumps in hole_4. Charlie jumps in hole_3,hole_3,Bob,Alice,Bob thinks Alice is in the field.
Danny jumps in hole_4. Charlie jumps in hole_4. Charlie jumps in hole_3. Danny jumps in hole_3. Charlie jumps in hole_2. Charlie jumps in hole_1. Charlie jumps out to the field. Alice jumps in hole_4. Charlie jumps in hole_2. Charlie jumps in hole_1. Bob jumps in hole_4. Bob jumps out to the field. Bob jumps in hole_2. Charlie jumps in hole_3. Danny jumps in hole_4. Danny jumps in hole_1. Charlie jumps out to the field. Charlie jumps in hole_2. Charlie jumps in hole_3. Charlie jumps in hole_4. Danny jumps in hole_2. Danny jumps out to the field. Charlie jumps in hole_3. Danny jumps in hole_4. Danny jumps in hole_3,field,Alice,Bob,Alice thinks Bob is in hole_2.
Charlie jumps in hole_1. Charlie jumps in hole_3. Danny jumps in hole_2. Charlie jumps in hole_2. Danny jumps in hole_1. Danny jumps in hole_3. Danny jumps in hole_4. Danny jumps in hole_1. Danny jumps in hole_2. Danny jumps out to the field. Bob jumps out to the field. Bob jumps in hole_2. Bob jumps in hole_1. Danny jumps in hole_2. Charlie jumps in hole_1. Danny jumps out to the field. Charlie jumps in hole_2. Danny jumps in hole_4. Charlie jumps in hole_3. Danny jumps in hole_1. Danny jumps in hole_2. Charlie jumps out to the field. Charlie jumps in hole_1. Danny jumps in hole_3. Charlie jumps in hole_3,hole_2,Alice,Bob,The story does not provide information on Alice's whereabouts or her knowledge of the events.
Charlie jumps in hole_1. Danny jumps in hole_4. Danny jumps out to the field. Charlie jumps out to the field. Danny jumps in hole_4. Danny jumps out to the field. Danny jumps in hole_2. Danny jumps in hole_3. Charlie jumps in hole_4. Charlie jumps out to the field. Alice jumps out to the field. Alice jumps in hole_1. Alice jumps in hole_2. Danny jumps in hole_2. Danny jumps in hole_1. Danny jumps in hole_3. Charlie jumps in hole_2. Charlie jumps in hole_1. Charlie jumps in hole_2. Danny jumps out to the field. Danny jumps in hole_1. Danny jumps in hole_2. Danny jumps in hole_1. Danny jumps in hole_3. Danny jumps in hole_2,hole_1,Bob,Alice,The story does not provide information on where Bob thinks Alice is.
Danny jumps in hole_1. Danny jumps out to the field. Charlie jumps in hole_2. Danny jumps in hole_2. Danny jumps out to the field. Danny jumps in hole_2. Bob jumps in hole_2. Danny jumps in hole_3. Danny jumps out to the field. Bob jumps in hole_1. Alice jumps in hole_2. Alice jumps in hole_1. Alice jumps out to the field. Bob jumps in hole_3. Bob jumps in hole_2. Danny jumps in hole_2. Bob jumps in hole_1. Bob jumps out to the field. Danny jumps in hole_1. Danny jumps in hole_3. Danny jumps in hole_2. Bob jumps in hole_1. Bob jumps in hole_2. Danny jumps in hole_3. Bob jumps out to the field,hole_1,Charlie,Alice,Charlie thinks Alice is in hole 1.
Bob jumps in hole_4. Bob jumps out to the field. Charlie jumps in hole_4. Alice jumps in hole_1. Bob jumps in hole_2. Bob jumps out to the field. Alice jumps in hole_3. Danny jumps in hole_1. Bob jumps in hole_4. Charlie jumps in hole_3. Danny jumps in hole_3. Danny jumps in hole_2. Danny jumps out to the field. Bob jumps in hole_3. Bob jumps in hole_4. Charlie jumps in hole_2. Bob jumps in hole_3. Charlie jumps out to the field. Charlie jumps in hole_4. Bob jumps in hole_2. Bob jumps in hole_1. Charlie jumps in hole_1. Bob jumps in hole_3. Bob jumps in hole_2. Bob jumps in hole_1,hole_2,Alice,Danny,Alice thinks Danny is in hole_2.
