Story,Label,P1,P2,Responses
Hank jumps in hole_2. Charlie jumps in hole_2. Danny jumps in hole_2. Edward jumps in hole_2. Bob jumps in hole_2. Bob jumps out to the field. Frank jumps in hole_4. Edward jumps in hole_3. Georgia jumps in hole_2. Charlie jumps out to the field. Alice jumps in hole_2. Alice jumps in hole_4. Hank jumps in hole_1. Charlie jumps in hole_2. Alice jumps in hole_1. Hank jumps in hole_5. Edward jumps in hole_2. Alice jumps in hole_5. Bob jumps in hole_4. Frank jumps in hole_3. Frank jumps out to the field. Charlie jumps out to the field. Bob jumps in hole_1. Charlie jumps in hole_1. Frank jumps in hole_1,hole_4,"Georgia,Hank",Alice,Georgia thinks Hank thinks Alice is in hole 1.
Hank jumps in hole_4. Alice jumps in hole_4. Bob jumps in hole_4. Frank jumps in hole_2. Charlie jumps in hole_1. Georgia jumps in hole_4. Bob jumps in hole_3. Alice jumps in hole_3. Bob jumps out to the field. Bob jumps in hole_1. Edward jumps in hole_4. Edward jumps in hole_5. Hank jumps in hole_2. Bob jumps out to the field. Bob jumps in hole_1. Georgia jumps in hole_1. Frank jumps out to the field. Edward jumps in hole_2. Frank jumps in hole_4. Charlie jumps out to the field. Charlie jumps in hole_4. Danny jumps in hole_4. Danny jumps in hole_1. Danny jumps out to the field. Danny jumps in hole_4,hole_5,"Georgia,Hank",Edward,Georgia thinks Hank thinks Edward is in hole 5.
Alice jumps in hole_4. Danny jumps in hole_2. Edward jumps in hole_1. Alice jumps in hole_5. Hank jumps in hole_2. Danny jumps out to the field. Georgia jumps in hole_4. Bob jumps in hole_4. Edward jumps in hole_2. Edward jumps in hole_1. Charlie jumps in hole_4. Charlie jumps in hole_3. Frank jumps in hole_1. Hank jumps out to the field. Bob jumps in hole_1. Georgia jumps in hole_1. Hank jumps in hole_2. Charlie jumps in hole_1. Danny jumps in hole_1. Alice jumps in hole_2. Alice jumps in hole_3. Danny jumps in hole_5. Danny jumps in hole_1. Alice jumps out to the field. Alice jumps in hole_2,hole_3,"Bob,Georgia",Charlie,Bob thinks Georgia thinks Charlie is in hole 1.
Frank jumps in hole_4. Danny jumps in hole_1. Georgia jumps in hole_4. Frank jumps in hole_1. Danny jumps out to the field. Charlie jumps in hole_4. Bob jumps in hole_4. Georgia jumps in hole_5. Frank jumps in hole_2. Frank jumps in hole_3. Alice jumps in hole_4. Alice jumps in hole_3. Bob jumps in hole_3. Bob jumps out to the field. Bob jumps in hole_1. Georgia jumps in hole_1. Charlie jumps in hole_2. Alice jumps in hole_2. Hank jumps in hole_1. Edward jumps in hole_1. Danny jumps in hole_2. Frank jumps in hole_4. Hank jumps in hole_2. Danny jumps in hole_3. Danny jumps in hole_2,hole_3,"Bob,Charlie",Alice,Hole_2
Bob jumps in hole_1. Alice jumps in hole_4. Danny jumps in hole_2. Georgia jumps in hole_2. Georgia jumps in hole_1. Charlie jumps in hole_1. Georgia jumps out to the field. Bob jumps in hole_5. Edward jumps in hole_1. Hank jumps in hole_4. Frank jumps in hole_4. Frank jumps in hole_1. Edward jumps in hole_5. Hank jumps in hole_2. Bob jumps in hole_1. Bob jumps in hole_2. Edward jumps in hole_4. Frank jumps in hole_2. Danny jumps in hole_3. Edward jumps in hole_1. Charlie jumps in hole_2. Edward jumps out to the field. Charlie jumps in hole_3. Charlie jumps in hole_4. Charlie jumps in hole_3,hole_1,"Alice,Hank",Frank,Hole 2
Bob jumps in hole_2. Georgia jumps in hole_4. Georgia jumps in hole_3. Bob jumps out to the field. Alice jumps in hole_4. Bob jumps in hole_1. Hank jumps in hole_4. Frank jumps in hole_4. Danny jumps in hole_2. Hank jumps in hole_3. Alice jumps in hole_3. Alice jumps in hole_5. Hank jumps in hole_4. Charlie jumps in hole_2. Bob jumps out to the field. Edward jumps in hole_4. Danny jumps in hole_3. Alice jumps in hole_4. Bob jumps in hole_1. Edward jumps in hole_5. Edward jumps in hole_4. Bob jumps in hole_5. Danny jumps in hole_4. Bob jumps in hole_1. Bob jumps in hole_2,hole_5,"Georgia,Hank",Alice,Georgia thinks Hank thinks Alice is in hole 4.
Hank jumps in hole_2. Bob jumps in hole_1. Danny jumps in hole_2. Hank jumps in hole_1. Edward jumps in hole_1. Georgia jumps in hole_4. Charlie jumps in hole_2. Edward jumps in hole_5. Danny jumps in hole_1. Frank jumps in hole_1. Alice jumps in hole_1. Alice jumps in hole_2. Bob jumps in hole_4. Bob jumps in hole_3. Alice jumps in hole_4. Frank jumps out to the field. Edward jumps in hole_4. Alice jumps in hole_3. Charlie jumps in hole_3. Hank jumps in hole_5. Georgia jumps in hole_1. Edward jumps in hole_5. Georgia jumps in hole_5. Hank jumps in hole_4. Hank jumps in hole_3,hole_2,"Frank,Bob",Alice,Frank thinks Bob thinks Alice is in hole 4.
Frank jumps in hole_2. Hank jumps in hole_1. Frank jumps out to the field. Georgia jumps in hole_1. Charlie jumps in hole_4. Bob jumps in hole_1. Alice jumps in hole_1. Hank jumps in hole_5. Bob jumps in hole_5. Edward jumps in hole_2. Georgia jumps in hole_5. Georgia jumps in hole_3. Alice jumps in hole_2. Charlie jumps in hole_5. Frank jumps in hole_1. Hank jumps in hole_4. Danny jumps in hole_4. Georgia jumps in hole_4. Frank jumps out to the field. Alice jumps out to the field. Alice jumps in hole_2. Frank jumps in hole_2. Alice jumps in hole_1. Frank jumps in hole_3. Edward jumps out to the field,hole_3,"Bob,Hank",Georgia,Bob thinks Hank thinks Georgia is in hole 4.
Hank jumps in hole_4. Georgia jumps in hole_2. Hank jumps in hole_1. Edward jumps in hole_1. Alice jumps in hole_4. Georgia jumps in hole_3. Hank jumps out to the field. Georgia jumps in hole_4. Frank jumps in hole_4. Danny jumps in hole_1. Bob jumps in hole_1. Bob jumps in hole_3. Charlie jumps in hole_4. Bob jumps in hole_1. Hank jumps in hole_1. Edward jumps in hole_1. Edward jumps in hole_5. Bob jumps in hole_5. Frank jumps in hole_3. Frank jumps in hole_2. Hank jumps in hole_5. Georgia jumps in hole_3. Frank jumps out to the field. Alice jumps in hole_1. Alice jumps in hole_2,hole_3,"Danny,Edward",Bob,Danny thinks Edward thinks Bob is in hole 5.
Danny jumps in hole_1. Alice jumps in hole_1. Georgia jumps in hole_1. Danny jumps in hole_5. Georgia jumps in hole_5. Bob jumps in hole_1. Danny jumps in hole_2. Frank jumps in hole_4. Bob jumps in hole_5. Danny jumps in hole_1. Alice jumps in hole_5. Alice jumps in hole_4. Hank jumps in hole_2. Georgia jumps in hole_4. Hank jumps in hole_1. Georgia jumps in hole_3. Alice jumps in hole_4. Alice jumps in hole_3. Edward jumps in hole_1. Edward jumps out to the field. Frank jumps in hole_1. Frank jumps in hole_5. Frank jumps in hole_2. Hank jumps in hole_2. Edward jumps in hole_4,hole_4,"Bob,Georgia",Alice,Bob thinks Georgia thinks Alice is in hole_3.
Charlie jumps in hole_2. Charlie jumps in hole_1. Charlie jumps in hole_2. Danny jumps in hole_4. Frank jumps in hole_2. Charlie jumps out to the field. Alice jumps in hole_1. Danny jumps in hole_3. Hank jumps in hole_2. Georgia jumps in hole_4. Bob jumps in hole_2. Bob jumps in hole_1. Hank jumps in hole_1. Frank jumps in hole_4. Alice jumps in hole_5. Bob jumps in hole_4. Frank jumps in hole_3. Bob jumps in hole_3. Georgia jumps in hole_3. Danny jumps out to the field. Danny jumps in hole_2. Georgia jumps in hole_2. Edward jumps in hole_1. Edward jumps out to the field. Edward jumps in hole_1,hole_1,"Hank,Frank",Bob,Hank thinks Frank thinks Bob is in hole 3.
Georgia jumps in hole_2. Charlie jumps in hole_4. Bob jumps in hole_4. Alice jumps in hole_1. Edward jumps in hole_4. Alice jumps in hole_2. Frank jumps in hole_2. Edward jumps in hole_3. Charlie jumps in hole_3. Danny jumps in hole_2. Bob jumps in hole_3. Bob jumps in hole_4. Edward jumps in hole_1. Georgia jumps out to the field. Alice jumps in hole_1. Hank jumps in hole_1. Alice jumps in hole_2. Bob jumps in hole_1. Alice jumps out to the field. Danny jumps in hole_3. Frank jumps in hole_1. Alice jumps in hole_4. Alice jumps in hole_1. Danny jumps out to the field. Frank jumps out to the field,hole_4,"Charlie,Edward",Bob,Charlie thinks Edward thinks Bob is in hole 1.
Charlie jumps in hole_1. Edward jumps in hole_2. Hank jumps in hole_1. Frank jumps in hole_4. Edward jumps in hole_3. Hank jumps in hole_5. Edward jumps in hole_2. Charlie jumps in hole_5. Alice jumps in hole_1. Georgia jumps in hole_1. Georgia jumps in hole_5. Georgia jumps in hole_2. Bob jumps in hole_2. Hank jumps in hole_4. Edward jumps in hole_1. Frank jumps in hole_5. Charlie jumps in hole_4. Georgia jumps in hole_4. Bob jumps out to the field. Alice jumps in hole_5. Frank jumps in hole_4. Alice jumps in hole_4. Edward jumps out to the field. Edward jumps in hole_4. Danny jumps in hole_4,hole_2,"Charlie,Hank",Georgia,Charlie thinks Hank thinks Georgia is in hole 4.
Charlie jumps in hole_4. Alice jumps in hole_1. Bob jumps in hole_1. Danny jumps in hole_4. Hank jumps in hole_2. Edward jumps in hole_1. Charlie jumps in hole_5. Georgia jumps in hole_1. Bob jumps in hole_5. Alice jumps in hole_5. Georgia jumps in hole_5. Georgia jumps in hole_3. Edward jumps out to the field. Bob jumps in hole_1. Alice jumps in hole_2. Bob jumps in hole_2. Bob jumps in hole_3. Georgia jumps in hole_2. Frank jumps in hole_4. Charlie jumps in hole_2. Edward jumps in hole_2. Hank jumps in hole_1. Danny jumps in hole_1. Edward jumps out to the field. Frank jumps in hole_3,hole_3,"Bob,Alice",Georgia,Bob thinks Alice thinks Georgia is in hole 2.
Danny jumps in hole_1. Danny jumps in hole_2. Edward jumps in hole_4. Danny jumps in hole_1. Frank jumps in hole_1. Charlie jumps in hole_1. Alice jumps in hole_2. Georgia jumps in hole_1. Georgia jumps in hole_5. Bob jumps in hole_1. Hank jumps in hole_1. Hank jumps in hole_3. Charlie jumps in hole_2. Frank jumps in hole_5. Frank jumps in hole_2. Edward jumps in hole_5. Danny jumps in hole_5. Hank jumps in hole_2. Danny jumps in hole_2. Danny jumps out to the field. Edward jumps in hole_4. Danny jumps in hole_2. Georgia jumps in hole_2. Edward jumps in hole_3. Georgia jumps out to the field,hole_3,"Frank,Charlie",Hank,Frank thinks Charlie thinks Hank is in hole_3.
Bob jumps in hole_1. Edward jumps in hole_2. Charlie jumps in hole_2. Hank jumps in hole_4. Edward jumps out to the field. Georgia jumps in hole_1. Danny jumps in hole_2. Alice jumps in hole_1. Hank jumps in hole_3. Georgia jumps in hole_5. Frank jumps in hole_2. Frank jumps in hole_5. Alice jumps out to the field. Georgia jumps in hole_4. Bob jumps in hole_5. Bob jumps in hole_2. Danny jumps in hole_4. Frank jumps in hole_4. Bob jumps in hole_3. Edward jumps in hole_1. Edward jumps in hole_5. Bob jumps in hole_2. Edward jumps in hole_1. Bob jumps in hole_3. Edward jumps out to the field,hole_5,"Charlie,Danny",Frank,Charlie thinks Danny thinks Frank is in hole 4.
Edward jumps in hole_1. Frank jumps in hole_4. Hank jumps in hole_1. Charlie jumps in hole_1. Danny jumps in hole_1. Bob jumps in hole_4. Danny jumps in hole_2. Bob jumps in hole_1. Edward jumps in hole_5. Charlie jumps in hole_5. Hank jumps in hole_5. Hank jumps in hole_1. Charlie jumps in hole_4. Bob jumps out to the field. Frank jumps in hole_3. Alice jumps in hole_2. Bob jumps in hole_2. Hank jumps in hole_4. Danny jumps in hole_1. Bob jumps in hole_3. Frank jumps in hole_4. Alice jumps out to the field. Frank jumps in hole_1. Georgia jumps in hole_2. Frank jumps in hole_2,hole_1,"Edward,Charlie",Hank,Edward thinks Charlie thinks Hank is in hole 4.
Edward jumps in hole_4. Bob jumps in hole_4. Danny jumps in hole_2. Danny jumps out to the field. Georgia jumps in hole_4. Danny jumps in hole_1. Frank jumps in hole_4. Edward jumps in hole_3. Hank jumps in hole_2. Bob jumps in hole_3. Frank jumps in hole_3. Frank jumps in hole_2. Hank jumps in hole_1. Georgia jumps in hole_5. Bob jumps in hole_4. Georgia jumps in hole_2. Hank jumps out to the field. Frank jumps in hole_4. Alice jumps in hole_2. Danny jumps in hole_2. Danny jumps in hole_1. Charlie jumps in hole_4. Georgia jumps in hole_1. Alice jumps out to the field. Charlie jumps in hole_3,hole_2,"Edward,Bob",Frank,Edward thinks Bob thinks Frank is in hole 4.
Charlie jumps in hole_4. Danny jumps in hole_1. Frank jumps in hole_4. Georgia jumps in hole_2. Hank jumps in hole_2. Frank jumps in hole_1. Edward jumps in hole_1. Charlie jumps in hole_3. Alice jumps in hole_1. Charlie jumps in hole_2. Bob jumps in hole_1. Bob jumps in hole_3. Bob jumps in hole_1. Alice jumps in hole_1. Frank jumps in hole_2. Alice jumps in hole_5. Charlie jumps in hole_3. Bob jumps in hole_5. Hank jumps in hole_1. Hank jumps in hole_5. Hank jumps in hole_1. Charlie jumps in hole_2. Edward jumps in hole_5. Charlie jumps in hole_1. Hank jumps in hole_5,hole_3,"Danny,Alice",Bob,Hole 5
Hank jumps in hole_2. Frank jumps in hole_1. Frank jumps in hole_5. Danny jumps in hole_1. Edward jumps in hole_4. Alice jumps in hole_2. Charlie jumps in hole_1. Bob jumps in hole_1. Georgia jumps in hole_2. Bob jumps in hole_5. Charlie jumps in hole_5. Charlie jumps in hole_2. Bob jumps in hole_4. Charlie jumps in hole_4. Danny jumps in hole_5. Edward jumps in hole_3. Bob jumps in hole_3. Charlie jumps in hole_3. Hank jumps in hole_1. Danny jumps in hole_2. Alice jumps in hole_3. Alice jumps in hole_2. Hank jumps out to the field. Georgia jumps in hole_1. Georgia jumps out to the field,hole_2,"Frank,Bob",Charlie,Frank thinks Bob thinks Charlie is in hole_3.
Hank jumps in hole_4. Danny jumps in hole_4. Georgia jumps in hole_2. Edward jumps in hole_4. Charlie jumps in hole_4. Bob jumps in hole_1. Danny jumps in hole_5. Georgia jumps in hole_3. Hank jumps in hole_3. Georgia jumps out to the field. Alice jumps in hole_4. Alice jumps in hole_5. Bob jumps in hole_5. Hank jumps out to the field. Charlie jumps in hole_1. Frank jumps in hole_4. Edward jumps in hole_1. Alice jumps in hole_1. Danny jumps in hole_1. Hank jumps in hole_1. Hank jumps in hole_2. Hank jumps in hole_1. Danny jumps in hole_5. Bob jumps in hole_4. Bob jumps in hole_5,hole_5,"Edward,Charlie",Alice,Edward thinks Charlie thinks Alice is in hole 1.
Charlie jumps in hole_4. Georgia jumps in hole_4. Edward jumps in hole_1. Bob jumps in hole_2. Charlie jumps in hole_3. Alice jumps in hole_4. Danny jumps in hole_2. Alice jumps in hole_5. Charlie jumps in hole_2. Edward jumps in hole_2. Frank jumps in hole_2. Frank jumps in hole_5. Alice jumps in hole_4. Bob jumps in hole_1. Hank jumps in hole_1. Alice jumps in hole_1. Alice jumps out to the field. Frank jumps in hole_1. Georgia jumps in hole_5. Alice jumps in hole_1. Charlie jumps out to the field. Edward jumps out to the field. Charlie jumps in hole_4. Alice jumps out to the field. Georgia jumps in hole_1,hole_5,"Danny,Bob",Frank,Danny thinks Bob thinks Frank is in hole 1.
Georgia jumps in hole_1. Charlie jumps in hole_1. Danny jumps in hole_1. Frank jumps in hole_1. Georgia jumps out to the field. Danny jumps in hole_5. Alice jumps in hole_1. Alice jumps in hole_5. Hank jumps in hole_1. Bob jumps in hole_2. Edward jumps in hole_1. Edward jumps in hole_2. Bob jumps out to the field. Charlie jumps in hole_1. Edward jumps in hole_1. Frank jumps out to the field. Charlie jumps in hole_5. Edward jumps in hole_5. Georgia jumps in hole_4. Alice jumps in hole_4. Alice jumps in hole_3. Bob jumps in hole_4. Bob jumps in hole_5. Georgia jumps in hole_3. Georgia jumps in hole_2,hole_2,"Frank,Charlie",Edward,Frank thinks Charlie thinks Edward is in hole_5.
Alice jumps in hole_2. Georgia jumps in hole_2. Charlie jumps in hole_1. Alice jumps in hole_3. Hank jumps in hole_4. Hank jumps in hole_5. Alice jumps in hole_4. Charlie jumps out to the field. Bob jumps in hole_2. Hank jumps in hole_1. Danny jumps in hole_2. Danny jumps in hole_1. Frank jumps in hole_2. Frank jumps out to the field. Charlie jumps in hole_2. Bob jumps in hole_4. Alice jumps in hole_3. Danny jumps in hole_4. Edward jumps in hole_1. Frank jumps in hole_1. Charlie jumps in hole_3. Charlie jumps in hole_2. Alice jumps out to the field. Frank jumps in hole_2. Hank jumps out to the field,hole_1,"Georgia,Bob",Danny,Georgia thinks Bob thinks Danny is in hole 4.
Hank jumps in hole_1. Alice jumps in hole_1. Frank jumps in hole_1. Edward jumps in hole_2. Hank jumps in hole_5. Danny jumps in hole_2. Bob jumps in hole_4. Alice jumps in hole_5. Georgia jumps in hole_4. Georgia jumps in hole_3. Frank jumps in hole_5. Frank jumps in hole_4. Danny jumps in hole_1. Hank jumps in hole_4. Hank jumps in hole_3. Frank jumps in hole_4. Alice jumps in hole_1. Frank jumps in hole_3. Danny jumps in hole_2. Charlie jumps in hole_4. Georgia jumps in hole_4. Danny jumps in hole_1. Bob jumps in hole_3. Danny jumps in hole_2. Charlie jumps in hole_5,hole_4,"Alice,Hank",Frank,Alice thinks Hank thinks Frank is in hole 3.
Danny jumps in hole_1. Frank jumps in hole_2. Edward jumps in hole_2. Edward jumps out to the field. Charlie jumps in hole_2. Alice jumps in hole_2. Bob jumps in hole_1. Danny jumps in hole_2. Danny jumps out to the field. Hank jumps in hole_2. Georgia jumps in hole_2. Georgia jumps in hole_5. Danny jumps in hole_4. Charlie jumps in hole_4. Charlie jumps in hole_3. Frank jumps out to the field. Georgia jumps in hole_4. Georgia jumps in hole_3. Danny jumps in hole_1. Alice jumps out to the field. Bob jumps in hole_5. Edward jumps in hole_1. Bob jumps in hole_2. Danny jumps in hole_2. Danny jumps out to the field,hole_5,"Frank,Charlie",Georgia,Frank thinks Charlie thinks Georgia is in hole_4.
Alice jumps in hole_1. Georgia jumps in hole_1. Bob jumps in hole_2. Georgia jumps in hole_5. Charlie jumps in hole_1. Edward jumps in hole_1. Frank jumps in hole_1. Alice jumps in hole_5. Charlie jumps out to the field. Bob jumps out to the field. Frank jumps in hole_5. Frank jumps in hole_4. Bob jumps in hole_2. Charlie jumps in hole_2. Georgia jumps in hole_2. Hank jumps in hole_4. Hank jumps in hole_5. Frank jumps in hole_2. Edward jumps out to the field. Bob jumps in hole_3. Hank jumps in hole_1. Charlie jumps out to the field. Charlie jumps in hole_2. Danny jumps in hole_2. Bob jumps in hole_2,hole_4,"Alice,Georgia",Frank,Alice thinks Georgia thinks Frank is in hole 2.
Edward jumps in hole_1. Charlie jumps in hole_4. Danny jumps in hole_1. Edward jumps in hole_5. Frank jumps in hole_2. Edward jumps in hole_4. Hank jumps in hole_1. Edward jumps in hole_1. Charlie jumps in hole_1. Alice jumps in hole_2. Georgia jumps in hole_1. Georgia jumps in hole_3. Hank jumps in hole_2. Charlie jumps in hole_2. Charlie jumps in hole_1. Danny jumps out to the field. Danny jumps in hole_1. Georgia jumps in hole_2. Charlie jumps in hole_2. Alice jumps in hole_3. Bob jumps in hole_1. Alice jumps out to the field. Edward jumps in hole_2. Bob jumps in hole_2. Charlie jumps in hole_3,hole_3,"Danny,Hank",Georgia,Danny thinks Hank thinks Georgia is in hole_3.
Edward jumps in hole_1. Danny jumps in hole_4. Georgia jumps in hole_1. Danny jumps in hole_5. Charlie jumps in hole_4. Charlie jumps in hole_5. Hank jumps in hole_1. Charlie jumps in hole_2. Danny jumps in hole_4. Alice jumps in hole_2. Bob jumps in hole_1. Bob jumps in hole_4. Edward jumps in hole_4. Edward jumps in hole_3. Alice jumps out to the field. Bob jumps in hole_4. Danny jumps in hole_3. Bob jumps in hole_3. Charlie jumps in hole_1. Georgia jumps in hole_2. Alice jumps in hole_4. Danny jumps in hole_2. Danny jumps in hole_1. Danny jumps out to the field. Danny jumps in hole_1,hole_4,"Hank,Edward",Bob,Hank thinks Edward thinks Bob is in hole 3.
Danny jumps in hole_1. Edward jumps in hole_1. Frank jumps in hole_1. Edward jumps in hole_5. Bob jumps in hole_4. Georgia jumps in hole_1. Charlie jumps in hole_2. Alice jumps in hole_2. Alice jumps in hole_1. Georgia jumps in hole_5. Danny jumps in hole_5. Danny jumps in hole_4. Frank jumps in hole_2. Alice jumps out to the field. Georgia jumps in hole_2. Alice jumps in hole_2. Alice jumps in hole_3. Danny jumps in hole_2. Charlie jumps out to the field. Frank jumps in hole_1. Alice jumps in hole_4. Hank jumps in hole_1. Hank jumps in hole_5. Frank jumps in hole_5. Hank jumps in hole_2,hole_4,"Edward,Georgia",Danny,Edward thinks Georgia thinks Danny is in hole_5.
Hank jumps in hole_4. Bob jumps in hole_4. Edward jumps in hole_2. Charlie jumps in hole_2. Edward jumps in hole_1. Charlie jumps in hole_3. Edward jumps in hole_5. Charlie jumps in hole_2. Edward jumps in hole_1. Alice jumps in hole_1. Frank jumps in hole_4. Frank jumps in hole_5. Charlie jumps out to the field. Bob jumps in hole_5. Hank jumps in hole_1. Danny jumps in hole_1. Alice jumps out to the field. Frank jumps in hole_1. Georgia jumps in hole_2. Georgia jumps out to the field. Edward jumps in hole_2. Edward jumps in hole_3. Georgia jumps in hole_2. Edward jumps out to the field. Danny jumps in hole_2,hole_5,"Bob,Hank",Frank,Bob thinks Hank thinks Frank is in hole_1.
Danny jumps in hole_1. Danny jumps in hole_5. Alice jumps in hole_2. Alice jumps in hole_1. Alice jumps in hole_5. Bob jumps in hole_1. Bob jumps in hole_5. Charlie jumps in hole_2. Frank jumps in hole_2. Edward jumps in hole_1. Edward jumps in hole_5. Edward jumps in hole_3. Frank jumps in hole_3. Hank jumps in hole_2. Alice jumps in hole_2. Frank jumps in hole_2. Bob jumps in hole_1. Edward jumps in hole_1. Georgia jumps in hole_2. Frank jumps out to the field. Hank jumps in hole_1. Charlie jumps out to the field. Charlie jumps in hole_1. Alice jumps out to the field. Frank jumps in hole_1,hole_3,"Danny,Bob",Edward,Hole 1
Alice jumps in hole_2. Bob jumps in hole_4. Frank jumps in hole_1. Frank jumps in hole_5. Bob jumps in hole_3. Georgia jumps in hole_1. Georgia jumps in hole_5. Danny jumps in hole_1. Alice jumps in hole_1. Charlie jumps in hole_4. Danny jumps in hole_5. Danny jumps in hole_3. Georgia jumps in hole_2. Edward jumps in hole_1. Edward jumps in hole_2. Bob jumps in hole_2. Edward jumps out to the field. Danny jumps in hole_2. Alice jumps in hole_5. Bob jumps out to the field. Hank jumps in hole_1. Alice jumps in hole_1. Hank jumps in hole_5. Hank jumps in hole_4. Hank jumps in hole_3,hole_3,"Frank,Georgia",Danny,Hole 3
Edward jumps in hole_4. Frank jumps in hole_2. Georgia jumps in hole_1. Frank jumps in hole_1. Frank jumps in hole_5. Danny jumps in hole_2. Hank jumps in hole_1. Charlie jumps in hole_4. Charlie jumps in hole_3. Charlie jumps out to the field. Bob jumps in hole_1. Bob jumps in hole_5. Edward jumps in hole_1. Danny jumps out to the field. Danny jumps in hole_4. Charlie jumps in hole_4. Georgia jumps in hole_4. Bob jumps in hole_4. Frank jumps in hole_1. Danny jumps in hole_5. Danny jumps in hole_1. Edward jumps in hole_2. Charlie jumps in hole_1. Alice jumps in hole_4. Edward jumps out to the field,hole_5,"Hank,Georgia",Bob,Hank thinks Georgia thinks Bob is in hole 4.
Alice jumps in hole_1. Edward jumps in hole_4. Bob jumps in hole_1. Frank jumps in hole_1. Georgia jumps in hole_4. Charlie jumps in hole_1. Edward jumps in hole_5. Charlie jumps out to the field. Danny jumps in hole_1. Georgia jumps in hole_5. Hank jumps in hole_1. Hank jumps in hole_4. Hank jumps in hole_1. Danny jumps in hole_1. Bob jumps in hole_2. Danny jumps in hole_5. Bob jumps out to the field. Hank jumps in hole_5. Alice jumps in hole_2. Bob jumps in hole_1. Alice jumps in hole_3. Alice jumps out to the field. Bob jumps in hole_5. Georgia jumps in hole_1. Bob jumps in hole_2,hole_4,"Frank,Danny",Hank,Frank thinks Danny thinks Hank is in hole_5.
