Story,Label,P1,P2,Responses
Danny jumps in hole_1. Edward jumps in hole_1. Edward jumps out to the field. Bob jumps in hole_4. Edward jumps in hole_4. Alice jumps in hole_1. Edward jumps in hole_3. Edward jumps in hole_2. Danny jumps in hole_2. Edward jumps in hole_3. Alice jumps in hole_2. Alice jumps in hole_3. Charlie jumps in hole_4. Bob jumps in hole_3. Edward jumps in hole_4. Bob jumps in hole_2. Charlie jumps in hole_3. Edward jumps in hole_3. Edward jumps in hole_2. Edward jumps in hole_1. Alice jumps in hole_4. Edward jumps in hole_2. Charlie jumps in hole_4. Charlie jumps out to the field. Edward jumps in hole_3,hole_3,Danny,Alice,Danny thinks Alice is in hole 4.
Danny jumps in hole_4. Alice jumps in hole_1. Alice jumps in hole_2. Bob jumps in hole_1. Bob jumps in hole_2. Bob jumps in hole_3. Bob jumps in hole_2. Edward jumps in hole_4. Danny jumps in hole_4. Charlie jumps in hole_4. Alice jumps in hole_4. Alice jumps out to the field. Charlie jumps out to the field. Charlie jumps in hole_4. Charlie jumps out to the field. Charlie jumps in hole_4. Charlie jumps in hole_3. Charlie jumps in hole_4. Charlie jumps in hole_3. Edward jumps in hole_3. Alice jumps in hole_1. Bob jumps in hole_3. Edward jumps in hole_2. Edward jumps in hole_3. Edward jumps in hole_2,field,Danny,Alice,Danny thinks Alice is in hole_1.
Bob jumps in hole_4. Alice jumps in hole_1. Edward jumps in hole_1. Edward jumps in hole_2. Alice jumps in hole_2. Edward jumps in hole_1. Alice jumps in hole_1. Danny jumps in hole_1. Edward jumps in hole_2. Danny jumps in hole_2. Bob jumps in hole_1. Bob jumps out to the field. Edward jumps in hole_1. Edward jumps in hole_2. Danny jumps in hole_1. Danny jumps out to the field. Danny jumps in hole_4. Danny jumps out to the field. Charlie jumps in hole_1. Danny jumps in hole_4. Bob jumps in hole_4. Edward jumps in hole_3. Charlie jumps out to the field. Charlie jumps in hole_1. Danny jumps out to the field,field,Alice,Bob,Alice thinks Bob is in hole_4.
Danny jumps in hole_1. Bob jumps in hole_1. Alice jumps in hole_1. Edward jumps in hole_4. Edward jumps in hole_3. Bob jumps in hole_2. Alice jumps out to the field. Alice jumps in hole_4. Danny jumps in hole_2. Charlie jumps in hole_4. Bob jumps in hole_4. Bob jumps out to the field. Charlie jumps in hole_3. Edward jumps in hole_2. Charlie jumps in hole_4. Charlie jumps in hole_3. Charlie jumps in hole_2. Charlie jumps in hole_3. Charlie jumps in hole_4. Edward jumps in hole_3. Bob jumps in hole_1. Danny jumps in hole_3. Edward jumps in hole_2. Charlie jumps in hole_3. Danny jumps in hole_2,field,Alice,Bob,Alice thinks Bob is in the field.
Edward jumps in hole_1. Charlie jumps in hole_4. Danny jumps in hole_1. Alice jumps in hole_4. Danny jumps in hole_2. Charlie jumps in hole_3. Charlie jumps in hole_2. Bob jumps in hole_4. Alice jumps out to the field. Danny jumps in hole_1. Alice jumps out to the field. Alice jumps in hole_4. Edward jumps in hole_2. Danny jumps out to the field. Danny jumps in hole_4. Danny jumps in hole_3. Charlie jumps in hole_3. Edward jumps in hole_3. Edward jumps in hole_2. Edward jumps in hole_1. Alice jumps in hole_3. Charlie jumps in hole_4. Danny jumps in hole_2. Edward jumps in hole_2. Danny jumps in hole_3,hole_4,Bob,Alice,Bob thinks Alice is in hole_3.
Danny jumps in hole_1. Alice jumps in hole_4. Bob jumps in hole_1. Charlie jumps in hole_4. Danny jumps in hole_4. Alice jumps in hole_3. Alice jumps in hole_2. Bob jumps in hole_2. Edward jumps in hole_1. Danny jumps in hole_3. Charlie jumps in hole_3. Charlie jumps in hole_2. Alice jumps in hole_3. Alice jumps in hole_4. Bob jumps in hole_3. Edward jumps in hole_2. Edward jumps in hole_1. Edward jumps in hole_2. Bob jumps in hole_2. Bob jumps in hole_3. Charlie jumps in hole_1. Edward jumps in hole_3. Edward jumps in hole_2. Alice jumps out to the field. Bob jumps in hole_4,hole_2,Danny,Charlie,Danny thinks Charlie is in hole 1.
Alice jumps in hole_4. Danny jumps in hole_1. Edward jumps in hole_4. Alice jumps in hole_3. Bob jumps in hole_1. Danny jumps out to the field. Danny jumps in hole_1. Bob jumps out to the field. Bob jumps in hole_4. Danny jumps out to the field. Edward jumps in hole_3. Edward jumps in hole_4. Charlie jumps in hole_4. Danny jumps in hole_4. Bob jumps out to the field. Danny jumps in hole_3. Charlie jumps in hole_3. Bob jumps in hole_4. Danny jumps in hole_2. Bob jumps out to the field. Edward jumps out to the field. Danny jumps in hole_1. Charlie jumps in hole_4. Danny jumps out to the field. Bob jumps in hole_1,hole_4,Alice,Edward,Alice thinks Edward is in hole_4.
Charlie jumps in hole_4. Bob jumps in hole_4. Alice jumps in hole_1. Alice jumps out to the field. Danny jumps in hole_4. Danny jumps in hole_3. Edward jumps in hole_1. Charlie jumps out to the field. Charlie jumps in hole_4. Charlie jumps out to the field. Alice jumps in hole_1. Alice jumps out to the field. Danny jumps in hole_4. Charlie jumps in hole_1. Charlie jumps in hole_2. Charlie jumps in hole_1. Charlie jumps in hole_2. Danny jumps out to the field. Bob jumps out to the field. Danny jumps in hole_1. Alice jumps in hole_4. Bob jumps in hole_1. Bob jumps out to the field. Danny jumps out to the field. Bob jumps in hole_4,field,Edward,Alice,Edward thinks Alice is in hole_4.
Danny jumps in hole_4. Alice jumps in hole_1. Bob jumps in hole_1. Edward jumps in hole_1. Charlie jumps in hole_1. Charlie jumps out to the field. Alice jumps in hole_2. Charlie jumps in hole_4. Danny jumps in hole_1. Edward jumps out to the field. Danny jumps in hole_2. Danny jumps in hole_3. Edward jumps in hole_1. Edward jumps out to the field. Charlie jumps out to the field. Edward jumps in hole_1. Bob jumps in hole_2. Bob jumps in hole_1. Bob jumps out to the field. Edward jumps in hole_2. Danny jumps in hole_4. Edward jumps in hole_1. Charlie jumps in hole_4. Bob jumps in hole_4. Edward jumps out to the field,hole_3,Alice,Danny,Alice thinks Danny is in hole_4.
Alice jumps in hole_4. Bob jumps in hole_1. Edward jumps in hole_1. Charlie jumps in hole_4. Bob jumps in hole_1. Danny jumps in hole_1. Charlie jumps in hole_3. Charlie jumps in hole_4. Charlie jumps in hole_3. Danny jumps in hole_2. Edward jumps in hole_1. Edward jumps in hole_2. Danny jumps in hole_1. Charlie jumps in hole_4. Alice jumps out to the field. Alice jumps in hole_1. Alice jumps out to the field. Charlie jumps in hole_3. Danny jumps in hole_2. Alice jumps in hole_4. Edward jumps in hole_3. Charlie jumps in hole_2. Alice jumps in hole_3. Alice jumps in hole_4. Danny jumps in hole_1,hole_2,Bob,Edward,Bob thinks Edward is in hole_3.
